question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,bigscience/bloom-1b1,openbookqa,D,B,wrong,loglikelihood
1129,bigscience/bloom-1b1,openbookqa,B,A,wrong,loglikelihood
880,bigscience/bloom-1b1,openbookqa,C,C,correct,loglikelihood
7-999,bigscience/bloom-1b1,openbookqa,B,C,wrong,loglikelihood
8-464,bigscience/bloom-1b1,openbookqa,A,C,wrong,loglikelihood
9-794,bigscience/bloom-1b1,openbookqa,D,C,wrong,loglikelihood
9-1163,bigscience/bloom-1b1,openbookqa,D,C,wrong,loglikelihood
9-322,bigscience/bloom-1b1,openbookqa,C,B,wrong,loglikelihood
7-1140,bigscience/bloom-1b1,openbookqa,C,D,wrong,loglikelihood
7-903,bigscience/bloom-1b1,openbookqa,A,B,wrong,loglikelihood
7-511,bigscience/bloom-1b1,openbookqa,B,C,wrong,loglikelihood
9-937,bigscience/bloom-1b1,openbookqa,D,B,wrong,loglikelihood
8-201,bigscience/bloom-1b1,openbookqa,A,C,wrong,loglikelihood
1618,bigscience/bloom-1b1,openbookqa,B,A,wrong,loglikelihood
758,bigscience/bloom-1b1,openbookqa,B,C,wrong,loglikelihood
7-414,bigscience/bloom-1b1,openbookqa,D,D,correct,loglikelihood
9-675,bigscience/bloom-1b1,openbookqa,B,C,wrong,loglikelihood
9-163,bigscience/bloom-1b1,openbookqa,C,C,correct,loglikelihood
1032,bigscience/bloom-1b1,openbookqa,D,A,wrong,loglikelihood
889,bigscience/bloom-1b1,openbookqa,C,B,wrong,loglikelihood
1160,bigscience/bloom-1b1,openbookqa,A,A,correct,loglikelihood
9-298,bigscience/bloom-1b1,openbookqa,A,A,correct,loglikelihood
1189,bigscience/bloom-1b1,openbookqa,A,A,correct,loglikelihood
8-395,bigscience/bloom-1b1,openbookqa,C,B,wrong,loglikelihood
7-238,bigscience/bloom-1b1,openbookqa,D,B,wrong,loglikelihood
7-372,bigscience/bloom-1b1,openbookqa,D,B,wrong,loglikelihood
8-35,bigscience/bloom-1b1,openbookqa,B,D,wrong,loglikelihood
