question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,bigscience/bloomz-1b7,openbookqa,D,B,wrong,loglikelihood
1129,bigscience/bloomz-1b7,openbookqa,B,A,wrong,loglikelihood
880,bigscience/bloomz-1b7,openbookqa,C,C,correct,loglikelihood
7-999,bigscience/bloomz-1b7,openbookqa,B,C,wrong,loglikelihood
8-464,bigscience/bloomz-1b7,openbookqa,A,C,wrong,loglikelihood
9-794,bigscience/bloomz-1b7,openbookqa,C,C,correct,loglikelihood
9-1163,bigscience/bloomz-1b7,openbookqa,D,C,wrong,loglikelihood
9-322,bigscience/bloomz-1b7,openbookqa,A,B,wrong,loglikelihood
7-1140,bigscience/bloomz-1b7,openbookqa,D,D,correct,loglikelihood
7-903,bigscience/bloomz-1b7,openbookqa,A,B,wrong,loglikelihood
7-511,bigscience/bloomz-1b7,openbookqa,A,C,wrong,loglikelihood
9-937,bigscience/bloomz-1b7,openbookqa,C,B,wrong,loglikelihood
8-201,bigscience/bloomz-1b7,openbookqa,A,C,wrong,loglikelihood
1618,bigscience/bloomz-1b7,openbookqa,B,A,wrong,loglikelihood
758,bigscience/bloomz-1b7,openbookqa,B,C,wrong,loglikelihood
7-414,bigscience/bloomz-1b7,openbookqa,D,D,correct,loglikelihood
9-675,bigscience/bloomz-1b7,openbookqa,D,C,wrong,loglikelihood
9-163,bigscience/bloomz-1b7,openbookqa,C,C,correct,loglikelihood
1032,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
889,bigscience/bloomz-1b7,openbookqa,C,B,wrong,loglikelihood
1160,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
9-298,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
1189,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
8-395,bigscience/bloomz-1b7,openbookqa,A,B,wrong,loglikelihood
7-238,bigscience/bloomz-1b7,openbookqa,D,B,wrong,loglikelihood
7-372,bigscience/bloomz-1b7,openbookqa,D,B,wrong,loglikelihood
8-35,bigscience/bloomz-1b7,openbookqa,C,D,wrong,loglikelihood
9-271,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
9-409,bigscience/bloomz-1b7,openbookqa,D,D,correct,loglikelihood
530,bigscience/bloomz-1b7,openbookqa,B,B,correct,loglikelihood
1426,bigscience/bloomz-1b7,openbookqa,C,C,correct,loglikelihood
8-466,bigscience/bloomz-1b7,openbookqa,C,D,wrong,loglikelihood
1577,bigscience/bloomz-1b7,openbookqa,D,B,wrong,loglikelihood
8-257,bigscience/bloomz-1b7,openbookqa,C,A,wrong,loglikelihood
378,bigscience/bloomz-1b7,openbookqa,C,B,wrong,loglikelihood
8-41,bigscience/bloomz-1b7,openbookqa,C,A,wrong,loglikelihood
9-540,bigscience/bloomz-1b7,openbookqa,B,A,wrong,loglikelihood
266,bigscience/bloomz-1b7,openbookqa,C,D,wrong,loglikelihood
1309,bigscience/bloomz-1b7,openbookqa,D,D,correct,loglikelihood
7-1197,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
7-891,bigscience/bloomz-1b7,openbookqa,C,D,wrong,loglikelihood
1180,bigscience/bloomz-1b7,openbookqa,B,D,wrong,loglikelihood
1204,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
7-52,bigscience/bloomz-1b7,openbookqa,D,D,correct,loglikelihood
1759,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
9-655,bigscience/bloomz-1b7,openbookqa,B,A,wrong,loglikelihood
132,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
8-79,bigscience/bloomz-1b7,openbookqa,A,A,correct,loglikelihood
1835,bigscience/bloomz-1b7,openbookqa,B,B,correct,loglikelihood
9-149,bigscience/bloomz-1b7,openbookqa,C,C,correct,loglikelihood
695,bigscience/bloomz-1b7,openbookqa,D,A,wrong,loglikelihood
8-179,bigscience/bloomz-1b7,openbookqa,D,D,correct,loglikelihood
7-50,bigscience/bloomz-1b7,openbookqa,C,A,wrong,loglikelihood
508,bigscience/bloomz-1b7,openbookqa,A,D,wrong,loglikelihood
1674,bigscience/bloomz-1b7,openbookqa,A,C,wrong,loglikelihood
163,bigscience/bloomz-1b7,openbookqa,D,A,wrong,loglikelihood
7-49,bigscience/bloomz-1b7,openbookqa,A,C,wrong,loglikelihood
8-393,bigscience/bloomz-1b7,openbookqa,C,D,wrong,loglikelihood
788,bigscience/bloomz-1b7,openbookqa,C,B,wrong,loglikelihood
9-29,bigscience/bloomz-1b7,openbookqa,B,A,wrong,loglikelihood
9-368,bigscience/bloomz-1b7,openbookqa,A,C,wrong,loglikelihood
