question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,Qwen/Qwen3-4B,openbookqa,D,B,wrong,loglikelihood
1129,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
880,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
7-999,Qwen/Qwen3-4B,openbookqa,A,C,wrong,loglikelihood
8-464,Qwen/Qwen3-4B,openbookqa,B,C,wrong,loglikelihood
9-794,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
9-1163,Qwen/Qwen3-4B,openbookqa,B,C,wrong,loglikelihood
9-322,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
7-1140,Qwen/Qwen3-4B,openbookqa,B,D,wrong,loglikelihood
7-903,Qwen/Qwen3-4B,openbookqa,A,B,wrong,loglikelihood
7-511,Qwen/Qwen3-4B,openbookqa,B,C,wrong,loglikelihood
9-937,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
8-201,Qwen/Qwen3-4B,openbookqa,D,C,wrong,loglikelihood
1618,Qwen/Qwen3-4B,openbookqa,B,A,wrong,loglikelihood
758,Qwen/Qwen3-4B,openbookqa,B,C,wrong,loglikelihood
7-414,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
9-675,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
9-163,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
1032,Qwen/Qwen3-4B,openbookqa,D,A,wrong,loglikelihood
889,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
1160,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
9-298,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
1189,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
8-395,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
7-238,Qwen/Qwen3-4B,openbookqa,A,B,wrong,loglikelihood
7-372,Qwen/Qwen3-4B,openbookqa,B,B,correct,loglikelihood
8-35,Qwen/Qwen3-4B,openbookqa,C,D,wrong,loglikelihood
9-271,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
9-409,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
530,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
1426,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
8-466,Qwen/Qwen3-4B,openbookqa,C,D,wrong,loglikelihood
1577,Qwen/Qwen3-4B,openbookqa,D,B,wrong,loglikelihood
8-257,Qwen/Qwen3-4B,openbookqa,C,A,wrong,loglikelihood
378,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
8-41,Qwen/Qwen3-4B,openbookqa,B,A,wrong,loglikelihood
9-540,Qwen/Qwen3-4B,openbookqa,B,A,wrong,loglikelihood
266,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
1309,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
7-1197,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
7-891,Qwen/Qwen3-4B,openbookqa,C,D,wrong,loglikelihood
1180,Qwen/Qwen3-4B,openbookqa,B,D,wrong,loglikelihood
1204,Qwen/Qwen3-4B,openbookqa,D,A,wrong,loglikelihood
7-52,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
1759,Qwen/Qwen3-4B,openbookqa,C,A,wrong,loglikelihood
9-655,Qwen/Qwen3-4B,openbookqa,D,A,wrong,loglikelihood
132,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
8-79,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
1835,Qwen/Qwen3-4B,openbookqa,B,B,correct,loglikelihood
9-149,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
695,Qwen/Qwen3-4B,openbookqa,D,A,wrong,loglikelihood
8-179,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
7-50,Qwen/Qwen3-4B,openbookqa,C,A,wrong,loglikelihood
508,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
1674,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
163,Qwen/Qwen3-4B,openbookqa,C,A,wrong,loglikelihood
7-49,Qwen/Qwen3-4B,openbookqa,D,C,wrong,loglikelihood
8-393,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
788,Qwen/Qwen3-4B,openbookqa,B,B,correct,loglikelihood
9-29,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
9-368,Qwen/Qwen3-4B,openbookqa,B,C,wrong,loglikelihood
7-671,Qwen/Qwen3-4B,openbookqa,C,C,correct,loglikelihood
1272,Qwen/Qwen3-4B,openbookqa,A,A,correct,loglikelihood
648,Qwen/Qwen3-4B,openbookqa,B,B,correct,loglikelihood
9-1180,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
9-227,Qwen/Qwen3-4B,openbookqa,B,C,wrong,loglikelihood
1582,Qwen/Qwen3-4B,openbookqa,C,A,wrong,loglikelihood
8-125,Qwen/Qwen3-4B,openbookqa,C,A,wrong,loglikelihood
1923,Qwen/Qwen3-4B,openbookqa,B,A,wrong,loglikelihood
9-229,Qwen/Qwen3-4B,openbookqa,D,D,correct,loglikelihood
1702,Qwen/Qwen3-4B,openbookqa,C,B,wrong,loglikelihood
8-260,Qwen/Qwen3-4B,openbookqa,D,C,wrong,loglikelihood
