question_id,model,benchmark,predicted,gold,result,scoring_method
8-343,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,B,correct,loglikelihood
1129,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,A,wrong,loglikelihood
880,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,C,correct,loglikelihood
7-999,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,C,wrong,loglikelihood
8-464,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,C,wrong,loglikelihood
9-794,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,C,correct,loglikelihood
9-1163,openbmb/MiniCPM-2B-sft-bf16,openbookqa,D,C,wrong,loglikelihood
9-322,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,B,wrong,loglikelihood
7-1140,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,D,wrong,loglikelihood
7-903,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,B,wrong,loglikelihood
7-511,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,C,wrong,loglikelihood
9-937,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,B,wrong,loglikelihood
8-201,openbmb/MiniCPM-2B-sft-bf16,openbookqa,D,C,wrong,loglikelihood
1618,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,A,wrong,loglikelihood
758,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,C,wrong,loglikelihood
7-414,openbmb/MiniCPM-2B-sft-bf16,openbookqa,D,D,correct,loglikelihood
9-675,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,C,correct,loglikelihood
9-163,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,C,correct,loglikelihood
1032,openbmb/MiniCPM-2B-sft-bf16,openbookqa,D,A,wrong,loglikelihood
889,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,B,wrong,loglikelihood
1160,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,A,correct,loglikelihood
9-298,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,A,correct,loglikelihood
1189,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,A,correct,loglikelihood
8-395,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,B,correct,loglikelihood
7-238,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,B,wrong,loglikelihood
7-372,openbmb/MiniCPM-2B-sft-bf16,openbookqa,B,B,correct,loglikelihood
8-35,openbmb/MiniCPM-2B-sft-bf16,openbookqa,C,D,wrong,loglikelihood
9-271,openbmb/MiniCPM-2B-sft-bf16,openbookqa,A,A,correct,loglikelihood
