outer_fold,model,family,criterion_id,label,probability
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c01,0,0.308828772506501
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c02,0,0.16944916017010678
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c03,0,0.06320511056654791
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c01,0,0.26702099296294485
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c02,0,0.04656361382247628
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c03,0,0.16327181115170356
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c01,0,0.44676460302489707
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c02,0,0.5762666344797246
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c01,1,0.3262504841135748
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c02,0,0.01856652834525635
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c01,0,0.4823812304214018
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c02,1,0.2110980921441178
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c03,0,0.04604537373059888
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c04,1,0.6963860954805186
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c05,1,0.0869419440174795
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c01,0,0.01713590951925969
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c02,0,0.009597668000095693
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c03,0,0.000939732054235887
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c01,0,0.45296718179461837
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c02,0,0.6386144404475527
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c03,0,0.6350351128537435
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c04,0,0.4283438838912766
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c01,0,0.860684686443191
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c02,0,0.6391168284101284
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c01,1,0.6781042827059754
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c02,1,0.6346745400031467
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c03,1,0.5828453552532936
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c01,0,0.13305076858178333
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c02,0,0.13302680752139057
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c03,0,0.16369612976382297
0,01-ai/Yi-1.5-6B,yi,ifb_0072_c01,0,0.3591865724653049
0,01-ai/Yi-1.5-6B,yi,ifb_0072_c02,0,0.2224699126722032
0,01-ai/Yi-1.5-6B,yi,ifb_0074_c01,1,0.2194663204004929
0,01-ai/Yi-1.5-6B,yi,ifb_0074_c02,1,0.17497895999802462
0,01-ai/Yi-1.5-6B,yi,ifb_0076_c01,1,0.20700392437246193
0,01-ai/Yi-1.5-6B,yi,ifb_0076_c02,1,0.16349255181321865
0,01-ai/Yi-1.5-6B,yi,ifb_0086_c01,0,0.6422878659738727
0,01-ai/Yi-1.5-6B,yi,ifb_0086_c02,0,0.9693823805640241
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c01,0,0.18632894824978563
