model,family,fold,fit_grid,ridge,quadrature_method,quadrature_nodes_requested,quadrature_nodes_effective,linear_bound,fit_cache_sha256,n_items_before_policy,n_items_after_policy,n_nonpositive_items,theta_full,theta_reference,se_full,se_reference,theta_heldout,se_heldout,posterior_tail_mass_full,posterior_tail_mass_heldout,observed_pass_rate,predicted_pass_rate_reference
01-ai/Yi-1.5-6B,yi,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-0.9072564859662317,-0.9072564859662317,0.04399947735702134,0.04399947735702134,-1.0668313026517624,0.04976610083683372,0.0,0.0,0.29194630872483224,0.2744474450172282
01-ai/Yi-1.5-6B-Chat,yi,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,1.974584919857882,1.974584919857882,0.06139894378425932,0.06139894378425932,1.9233231069890704,0.06802943860297149,0.0,0.0,0.7669064748201438,0.7416916546751048
01-ai/Yi-6B,yi,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-1.5348193155044318,-1.5348193155044318,0.05197248573165178,0.05197248573165178,-1.5650229997882659,0.058367952665254644,0.0,0.0,0.1725790987535954,0.18134399572565799
01-ai/Yi-6B-200K,yi,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-2.6950041902207325,-2.6950041902207325,0.08356782677033274,0.08356782677033274,-2.695503967862146,0.09240236172890452,4.536051583900764e-261,2.268062291698695e-213,0.08053691275167785,0.07960809580222136
01-ai/Yi-6B-Chat,yi,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,1.3352156272965754,1.3352156272965754,0.05259156973582629,0.05259156973582629,1.3653588069316835,0.059911931060949004,0.0,0.0,0.6955896452540747,0.6704023109742948
BSC-LT/salamandra-2b,salamandra,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-2.0719724731382705,-2.0719724731382705,0.06349790502381111,0.06349790502381111,-2.0982204254078476,0.07159236366736947,0.0,0.0,0.1049856184084372,0.12413515503039815
BSC-LT/salamandra-2b-instruct,salamandra,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,0.1968315466695406,0.1968315466695406,0.041533164361985724,0.041533164361985724,0.2029648543009714,0.0447619471225029,0.0,0.0,0.4841802492809204,0.4879056066994458
BSC-LT/salamandra-7b,salamandra,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-0.9365404682782007,-0.9365404682782007,0.04168335139606261,0.04168335139606261,-0.9664597532409033,0.04823092117963123,0.0,0.0,0.2588686481303931,0.2694682732785228
BSC-LT/salamandra-7b-instruct,salamandra,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,0.6544541316079242,0.6544541316079242,0.04328666580176767,0.04328666580176767,0.6109082015785262,0.04789770843177137,0.0,0.0,0.5977948226270374,0.5712756000363518
arcee-ai/raspberry-3B,raspberry,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,1.8308871760913372,1.8308871760913372,0.05949151611148544,0.05949151611148544,1.7665033415061142,0.06574969590136637,0.0,0.0,0.7411313518696069,0.7270795720607347
ibm/PowerLM-3b,powerlm,0,61,0.1,gauss_hermite_scipy,1601,939,,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,0.471372450866209,0.471372450866209,0.03826561241597483,0.03826561241597483,0.37563436117804994,0.04507887855676505,0.0,0.0,0.5714285714285714,0.5394379677934806
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,exaone,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,2.921310316485628,2.921310316485628,0.07007427197867924,0.07007427197867924,3.0461009148530205,0.07894120207612704,0.0,2.1363901631571758e-297,0.8571428571428571,0.8423567907379742
OpenBMB/MiniCPM4-0.5B,minicpm,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,0.5260471802535835,0.5260471802535835,0.040238766834267,0.040238766834267,0.5420625541030808,0.04332621121652709,0.0,0.0,0.5424460431654676,0.5490539330826705
allenai/OLMo-1B-hf,olmo,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,-4.81524394553362,-4.81524394553362,0.2144839466139106,0.2144839466139106,-4.799394994937302,0.23683231067015767,1.736145763179919e-21,3.4551051273845002e-18,0.013422818791946308,0.021584600723180268
allenai/OLMo-2-0425-1B,olmo,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,-2.0322246562296913,-2.0322246562296913,0.06385852205719252,0.06385852205719252,-2.0577878317644536,0.07318946548508981,0.0,0.0,0.10354745925215723,0.12439652281293935
allenai/OLMo-2-0425-1B-DPO,olmo,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,1.3977746207622999,1.3977746207622999,0.05031203377578386,0.05031203377578386,1.4554316349196164,0.05701513245894314,0.0,0.0,0.6756238003838771,0.6898708696468623
allenai/OLMo-2-0425-1B-Instruct,olmo,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,1.3807200221563205,1.3807200221563205,0.05037081031373003,0.05037081031373003,1.4213303569638391,0.056453868287287705,0.0,0.0,0.6804222648752399,0.6878773831834641
nvidia/AceInstruct-1.5B,ace,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,2.092939687234937,2.092939687234937,0.05910528460311294,0.05910528460311294,2.0985414116107437,0.06613761725091435,0.0,0.0,0.7841726618705036,0.7706966321851714
openbmb/MiniCPM-1B-sft-bf16,minicpm,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,-1.1646081122564764,-1.1646081122564764,0.046588332878121086,0.046588332878121086,-1.0797107263840608,0.051351865526526756,0.0,0.0,0.19367209971236818,0.22480280385398319
openbmb/MiniCPM-2B-sft-bf16,minicpm,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,0.038869085330664035,0.038869085330664035,0.040892719661759835,0.040892719661759835,0.08447707881588191,0.040255374299169006,0.0,0.0,0.4378896882494005,0.4502028355433837
openlm-research/open_llama_3b,open_llama,1,61,0.1,gauss_hermite_scipy,1601,939,,25a0e701922239ba969df1f63ddd8a3c699c95c219ab95133e214ac91ebe909e,2098,2086,12,-3.313616850213469,-3.313616850213469,0.11416515348026263,0.11416515348026263,-3.294078868530929,0.12581744862017832,1.1594637168408051e-122,9.938708796087288e-102,0.040268456375838924,0.05209993467886174
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,smol_llama,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,-5.373702559639693,-5.373702559639693,0.25911384037150054,0.25911384037150054,-5.695502705958978,0.3126308144796983,3.920307893321089e-12,3.0538466921703223e-07,0.010096153846153847,0.020086305575763064
BEE-spoke-data/smol_llama-220M-openhermes,smol_llama,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,-2.9054419100837263,-2.9054419100837263,0.09453985322282128,0.09453985322282128,-2.749507839993283,0.0985089832599775,6.506690829680547e-197,9.733878547777438e-189,0.04519230769230769,0.074545747200705
HuggingFaceTB/SmolLM2-360M,smollm,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,-3.4222522413435925,-3.4222522413435925,0.12043712809691423,0.12043712809691423,-3.594385191887665,0.1457095956807166,2.0191061640049234e-109,2.843971340752941e-73,0.03942307692307692,0.054252927877665724
ibm-granite/granite-3.0-2b-base,granite,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,0.24264549155848184,0.24264549155848184,0.0389586427983849,0.0389586427983849,0.24948669147606853,0.04596350382033964,0.0,0.0,0.5367965367965368,0.5003270100534416
ibm-granite/granite-3.1-2b-base,granite,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,0.1641162257224005,0.1641162257224005,0.03815656980492587,0.03815656980492587,0.16311333015807394,0.04479132288780998,0.0,0.0,0.5372775372775372,0.4858029011318377
ibm-granite/granite-3.1-2b-instruct,granite,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,3.0402276677139612,3.0402276677139612,0.07259569885856734,0.07259569885856734,2.990144087692788,0.07888265402703959,0.0,0.0,0.8461538461538461,0.8267530447009588
ibm-granite/granite-7b-instruct,granite,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,1.1459157506614508,1.1459157506614508,0.05301468543723572,0.05301468543723572,1.1757597916531406,0.059557054763446804,0.0,0.0,0.6618566618566618,0.6416460890993443
meta-llama/Llama-3.2-1B,llama_3_2,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,-2.2713135971402463,-2.2713135971402463,0.06975831743868816,0.06975831743868816,-2.3099409084920817,0.07979484585874276,0.0,5.13227953572e-312,0.09375,0.11335693280383159
meta-llama/Llama-3.2-1B-Instruct,llama_3_2,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,1.5327516419113043,1.5327516419113043,0.058270422988714723,0.058270422988714723,1.5908059422205367,0.06531036558294628,0.0,0.0,0.6988936988936989,0.6885814269666036
meta-llama/Llama-3.2-3B-Instruct,llama_3_2,2,61,0.1,gauss_hermite_scipy,1601,939,,c8997bf12a740bec1efa49172586c331ba96306a19db2ec425502c294bf34e3a,2092,2080,12,3.229803881361739,3.229803881361739,0.0759907453649334,0.0759907453649334,3.2268189446434214,0.08306716129508501,1.57834e-319,6.896761800367185e-266,0.8610576923076924,0.839931105161849
