model,fold,criteria_administered,scenarios_administered,theta_ref_ability,theta_online_ability,theta_batch_ability,theta_mwle_ability
01-ai/Yi-1.5-6B,3,17,11,0.1099867322364213,0.284382,0.24478736908151438,0.2544644581485022
01-ai/Yi-1.5-6B-Chat,2,16,12,1.400066842585159,0.484699,0.5190364301472071,0.5027762756356805
01-ai/Yi-6B,1,16,10,-1.039228291247241,-0.53132,-0.6005549290582766,-0.5757550022919738
01-ai/Yi-6B-200K,3,15,8,-0.6971617707744402,-0.985436,-1.03708713685548,-1.0608321916327388
01-ai/Yi-6B-Chat,3,16,11,0.3993791009588635,0.566755,0.5243274765211909,0.5684442468021226
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,15,10,-4.703544391860497,-2.468506,-3.0608397476389575,-3.5018254875945813
BEE-spoke-data/smol_llama-220M-openhermes,0,15,8,-3.7483124991788603,-1.487497,-2.3297759787230365,-2.6704288516351613
BSC-LT/salamandra-2b,0,15,9,-2.0565886406180653,-1.755432,-2.01868266954278,-2.164716687152063
BSC-LT/salamandra-2b-instruct,0,17,10,-1.113950266013195,-0.490282,-0.5907492478530205,-0.5922789229949563
BSC-LT/salamandra-7b,3,15,11,-0.8208470120591451,-0.296745,-0.3366634261067818,-0.32508355512382336
BSC-LT/salamandra-7b-instruct,2,16,9,0.20173547062022584,-0.581132,-0.6292991555426285,-0.6185138339097347
HuggingFaceTB/SmolLM2-360M,1,15,9,-2.02239568341066,-1.123444,-1.3094759554238786,-1.300709355390433
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,16,12,2.585534735726388,2.092766,2.2616209919433325,2.286837867833961
OpenBMB/MiniCPM4-0.5B,4,15,10,-0.1865002940172271,-0.01011,-0.03016138404321507,0.012623015249296394
Qwen/Qwen1.5-1.8B,1,16,10,-2.307117419238572,-1.059586,-1.3817128014156692,-1.3766606520499574
Qwen/Qwen1.5-1.8B-Chat,3,15,10,-0.45991192264698033,-0.162458,-0.17568632150646674,-0.17607146371591778
