model,n_admin,theta_conceptual_understanding,se_posterior_conceptual_understanding,se_param_conceptual_understanding,se_total_conceptual_understanding,bar_inflation_conceptual_understanding,theta_quantitative_procedural,se_posterior_quantitative_procedural,se_param_quantitative_procedural,se_total_quantitative_procedural,bar_inflation_quantitative_procedural
01-ai/Yi-1.5-6B,30,0.5162494999403214,0.23608872008159504,0.12896555755576652,0.26901672584699166,1.1394730157121284,0.28041409585418275,0.22743698852295743,0.14446103967570725,0.2694375173070338,1.1846688573254516
01-ai/Yi-1.5-6B-Chat,30,1.0713993651717066,0.18073385009375045,0.1404692395422702,0.22890245046153163,1.266516761208789,0.6883704671319497,0.166551028622222,0.1207064193802764,0.205692208930546,1.2350101385270074
01-ai/Yi-6B,64,-1.0964080740601885,0.15421767971188322,0.07964744715740808,0.17357075956050058,1.1254919661920326,0.16589464694964193,0.31847807452946375,0.4101083385471419,0.5192466979210285,1.6304001419507164
01-ai/Yi-6B-200K,33,-1.0273094791902637,0.3383672555675485,0.10968775762200757,0.35570184679371425,1.0512301085313063,-1.1328141398789908,0.3894670508355798,0.154214196315814,0.4188873381135989,1.0755398620111754
01-ai/Yi-6B-Chat,29,0.3847368286461724,0.2408973642731633,0.14519216929706263,0.2812690991540735,1.1675889439584364,0.19451088374725822,0.2175453461965612,0.10780864279604813,0.24279349479198895,1.1160592448280415
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,64,-1.9512128597314031,0.5820134574757255,0.328031695025645,0.6680901568083801,1.147894689078121,-2.4480308091243383,0.5406136912116061,0.18952293379648866,0.572871805520455,1.0596694364816273
BEE-spoke-data/smol_llama-220M-openhermes,35,-1.8813315942987043,0.5849035710703944,0.15406405210606405,0.6048536348590788,1.03410829541043,-2.241077738647409,0.5527199133425428,0.10434350615440648,0.5624827729646328,1.0176633035763984
BSC-LT/salamandra-2b,31,-1.843122728692537,0.45678861669575205,0.09617610762188418,0.46680368895298474,1.021924960235827,-2.1225527939622326,0.5592982414033499,0.06741374552463,0.5633463729558746,1.0072378764187913
BSC-LT/salamandra-2b-instruct,25,-0.4966495885126102,0.31229479473855903,0.14772940197846054,0.34547360974423547,1.1062419725357653,-0.5806176064608458,0.3511409577970143,0.1274095021677618,0.3735413678366046,1.0637932133583214
BSC-LT/salamandra-7b,34,-0.7182523294216212,0.42027602452066976,0.17584630874925306,0.45558079534549767,1.0840037707720622,-1.614022782803108,0.4310999795141683,0.14827903215381477,0.45588799470219477,1.057499458051382
BSC-LT/salamandra-7b-instruct,27,0.27656418248258713,0.2314472088985838,0.1635671805834296,0.2834114201491481,1.2245186342831818,-0.1123162823791597,0.2665970953515895,0.14047305508131228,0.30134148478724576,1.1303254613102038
HuggingFaceTB/SmolLM2-360M,37,-1.7436300637314166,0.4125383288049566,0.11798263800327263,0.4290778199853702,1.040092010912841,-1.3780156495963256,0.39235624631347565,0.10493023795681268,0.4061450219550575,1.0351435099380708
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,26,1.8238571058933362,0.3397692432562439,0.24342453337517234,0.41796966649727235,1.2301574518387233,1.8721321790909111,0.19182955734969379,0.17999562165480268,0.26305323204225856,1.3712862380364474
OpenBMB/MiniCPM4-0.5B,25,0.044744039502678926,0.25147456617719677,0.18724577861928873,0.3135290082986788,1.246762299125537,-0.11907374546472267,0.2527460349910717,0.11123263372320548,0.2761399228809714,1.0925588719551074
Qwen/Qwen1.5-1.8B,36,-1.4037134456245268,0.3938139349149718,0.17174240157869142,0.4296334109833989,1.0909553291357272,-1.2799332560307124,0.3682980258686998,0.09402387071741722,0.3801104104381608,1.032072896784063
Qwen/Qwen1.5-1.8B-Chat,27,-0.22648563612764483,0.2793820458333233,0.12546379530194302,0.3062604960904704,1.0962067915888285,-0.5516812139256835,0.34020868930863307,0.13078120340258864,0.3644800069201702,1.0713424388449952
Qwen/Qwen2-0.5B,28,-1.283338610723892,0.36230802666565204,0.11704391782041536,0.3807445139264793,1.05088622361061,-0.7087889603606328,0.3617540867818948,0.11675591030447564,0.38012887537574597,1.0507935895273783
