model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-6B,0.48293515358361777,0.6071118587487053,0.8193731659125809,0.2988647237832317,43
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.4104095563139932,0.47666940257015983,-0.031492452722823756,0.2987319763278025,42
HuggingFaceTB/SmolLM2-360M,0.3796928327645051,0.3940875291809399,-0.5746004026057693,0.29876827173067405,42
Qwen/Qwen2-7B,0.4991467576791809,0.5684564991338864,0.5636048623406116,0.2973334402123389,43
Qwen/Qwen2.5-0.5B-Instruct,0.3242320819112628,0.29672111065551215,-1.2637532227438164,0.29685749093513214,43
Qwen/Qwen2.5-3B-Instruct,0.41552901023890787,0.46109644961303675,-0.13253445088138946,0.29876650003105387,42
bigscience/bloom-1b7,0.2619453924914676,0.26416656925363524,-1.5166075890415884,0.29591000290801855,53
google/gemma-2-2b,0.5093856655290102,0.6018659072084717,0.7843121452476438,0.2970918534841524,43
meta-llama/Llama-3.2-1B-Instruct,0.35409556313993173,0.36126717836116484,-0.7985460527610116,0.2976629867773634,43
microsoft/Phi-3.5-mini-instruct,0.47952218430034127,0.5212451242341279,0.25670683507476866,0.2992649215756933,42
nvidia/Nemotron-Mini-4B-Instruct,0.4402730375426621,0.494687563065893,0.0850702077624859,0.2969080240336661,43
openbmb/MiniCPM-2B-sft-bf16,0.4812286689419795,0.535680946929171,0.35016541909454785,0.29918094155270053,42
stabilityai/stablelm-3b-4e1t,0.39334470989761094,0.4441836541756513,-0.24278325150238794,0.2986059659675176,43
