model,actual_full,diagnostic_pred,theta,se,n_items
01-ai/Yi-6B,0.48293515358361777,0.5609268598197824,0.5143614917149216,0.149837599702747,180
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.4104095563139932,0.44507015208807205,-0.23698787536328927,0.14960929273384174,181
HuggingFaceTB/SmolLM2-360M,0.3796928327645051,0.41957418163630045,-0.40459698518525566,0.14991522313811573,180
Qwen/Qwen2-7B,0.4991467576791809,0.5906734486198271,0.7099107391214966,0.1498585835913024,180
Qwen/Qwen2.5-0.5B-Instruct,0.3242320819112628,0.33924077031470795,-0.9529832411576495,0.14984786931144325,182
Qwen/Qwen2.5-3B-Instruct,0.41552901023890787,0.49166920871735803,0.06555985726761404,0.14969060680341642,181
bigscience/bloom-1b7,0.2619453924914676,0.23031331782214556,-1.798304661439658,0.14969082505807632,199
google/gemma-2-2b,0.5093856655290102,0.6268058005197142,0.9522328330816884,0.14996168824837028,180
meta-llama/Llama-3.2-1B-Instruct,0.35409556313993173,0.3905023736638746,-0.5987596743014851,0.14999647820749276,180
microsoft/Phi-3.5-mini-instruct,0.47952218430034127,0.587366958282737,0.6880277081590592,0.14965655632752684,181
nvidia/Nemotron-Mini-4B-Instruct,0.4402730375426621,0.46145539900169164,-0.1302010665740614,0.1496414356965909,181
openbmb/MiniCPM-2B-sft-bf16,0.4812286689419795,0.5656113494117537,0.5449800634253796,0.1498299566242377,180
stabilityai/stablelm-3b-4e1t,0.39334470989761094,0.4359762406043157,-0.2965396165494087,0.14979323498306577,181
