fold,estimator,n,r,slope,mae,bias
pooled,online,52,0.8797726315170966,0.4260827843423018,0.886390377277118,0.29985601150192986
pooled,eap,52,0.9105518486934882,0.5754711924737126,0.7337878118618346,0.3217331803028313
pooled,mwle,52,0.9018534481296091,0.621116888008434,0.7212502598206117,0.3354179658046063
0,online,11,0.9535569973855139,0.5675900995745768,0.5392959357686459,0.01082260186700229
0,eap,11,0.9404719213013738,0.7719658598736789,0.4343905816522728,-0.05701578794969111
0,mwle,11,0.9290826452104085,0.8070640521957341,0.44553894669217886,-0.1240539628145871
1,online,10,0.9684536018915856,0.3517039687185347,1.2935312930788752,0.5186290029282183
1,eap,10,0.9708583739564325,0.4864262143601506,1.1035718871233788,0.5657220508626496
1,mwle,10,0.9660831613269146,0.5391623166857066,1.0280093058031903,0.5593989826557824
2,online,10,0.9188720724610475,0.41127930595006795,1.2620877426345722,0.49632672839309694
2,eap,10,0.9477427945578014,0.6000166904552655,0.8885465211471659,0.5677449973198258
2,mwle,10,0.9420045311727918,0.646988380828371,0.882596875861194,0.6318027673238797
3,online,10,0.9590144421650137,0.6025512628968289,0.4812336387823202,0.1799897665573965
3,eap,10,0.9618127658525268,0.6518679075275675,0.4580230126145447,0.1932095765435165
3,mwle,10,0.9621718658789475,0.6598714083205117,0.45224761415393433,0.1972335459276259
4,online,11,0.7818459011633998,0.4042527974004319,0.8901379618179409,0.32036445443420075
4,eap,11,0.8548917834774898,0.5297432524502256,0.8070232372535903,0.37186661781217384
4,mwle,11,0.842280988911252,0.5902069106729838,0.8159588308067861,0.4474522594297372
