panel_id,repeat,outer_fold,left_policy_id,right_policy_id,n_models_compared,n_identical_paths,identical_path_fraction,all_paths_identical,counted_as_independent_support
repeat_00_outer_00,0,0,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_00_outer_00,0,0,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_00_outer_00,0,0,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_00_outer_01,0,1,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_00_outer_01,0,1,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_00_outer_01,0,1,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_00_outer_02,0,2,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_00_outer_02,0,2,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_00_outer_02,0,2,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_00_outer_03,0,3,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_00_outer_03,0,3,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_00_outer_03,0,3,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_00_outer_04,0,4,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_00_outer_04,0,4,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_00_outer_04,0,4,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_01_outer_00,1,0,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_01_outer_00,1,0,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_01_outer_00,1,0,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_01_outer_01,1,1,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_01_outer_01,1,1,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_01_outer_01,1,1,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_01_outer_02,1,2,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_01_outer_02,1,2,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_01_outer_02,1,2,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_01_outer_03,1,3,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_01_outer_03,1,3,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_01_outer_03,1,3,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_01_outer_04,1,4,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_01_outer_04,1,4,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_01_outer_04,1,4,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_02_outer_00,2,0,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_02_outer_00,2,0,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_02_outer_00,2,0,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_02_outer_01,2,1,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_02_outer_01,2,1,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_02_outer_01,2,1,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
