model_id,cdpk_main-0,cdpk_main-1,cdpk_main-10,cdpk_main-100,cdpk_main-101,cdpk_main-102,cdpk_main-103,cdpk_main-104,cdpk_main-105,cdpk_main-106,cdpk_main-107,cdpk_main-108,cdpk_main-109,cdpk_main-11,cdpk_main-110,cdpk_main-111,cdpk_main-112,cdpk_main-113,cdpk_main-114,cdpk_main-115,cdpk_main-116,cdpk_main-117,cdpk_main-118,cdpk_main-119,cdpk_main-12
gemma-3-270m-it,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
smollm2-360m-instruct,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0
minicpm4-0.5b,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
falcon-h1-0.5b-instruct,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
h2o-danube3-500m-chat,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0
bloomz-560m,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
qwen3.5-0.8b,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0
gemma-3-1b-it,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
tinyllama-1.1b-chat,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
lfm2.5-1.2b-instruct,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
llama-3.2-1b-instruct,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0
granite-4.0-h-1b,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
olmo-2-0425-1b-instruct,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
qwen2.5-math-1.5b-instruct,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
qwen2.5-coder-1.5b-instruct,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0
falcon-h1-1.5b-instruct,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0
smollm2-1.7b-instruct,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
deepseek-r1-distill-qwen-1.5b,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
internlm2_5-1_8b-chat,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0
qwen3.5-2b,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0
granite-3.3-2b-instruct,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
lfm2-2.6b,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0
gemma-2-2b-it,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
flan-t5-xl,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0
