model,predicted_passrate,actual_passrate,theta_oos,abs_error
01-ai/Yi-1.5-6B,0.3967550082465076,0.4723566878980891,0.0599880890344047,0.07560167965158149
01-ai/Yi-1.5-6B-Chat,0.5773529851433482,0.5851172273190621,1.3303115708091713,0.00776424217571392
01-ai/Yi-6B,0.3312338495079684,0.3910585817060637,-0.1744437832233067,0.05982473219809531
01-ai/Yi-6B-200K,0.3292039316672033,0.3327388535031847,-0.3628121648422703,0.0035349218359814194
01-ai/Yi-6B-Chat,0.4165537875407894,0.403312101910828,0.1719801553177235,0.01324168562996142
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.1817507864831445,0.2080895446451284,-1.9945422386588167,0.026338758161983916
BEE-spoke-data/smol_llama-220M-openhermes,0.204830208319848,0.1677800616649537,-1.6789622341239911,0.037050146654894284
BSC-LT/salamandra-2b,0.2044198495015076,0.1610996916752312,-1.685788328835664,0.043320157826276406
BSC-LT/salamandra-2b-instruct,0.4867429008867509,0.3992805755395683,0.9060723011877484,0.08746232534718257
BSC-LT/salamandra-7b,0.3044962759028541,0.3867515923566879,-0.5452781527817258,0.08225531645383377
BSC-LT/salamandra-7b-instruct,0.3679001576413628,0.4538735983690112,0.1225750167450869,0.0859734407276484
HuggingFaceTB/SmolLM2-360M,0.2095086740929469,0.1973953013278856,-1.7242128621800703,0.012113372765061303
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.5042891354798089,0.6100228949376749,0.8208653830699542,0.105733759457866
OpenBMB/MiniCPM4-0.5B,0.4776900930504988,0.4143983719155431,0.6643539992083518,0.06329172113495574
Qwen/Qwen1.5-1.8B,0.1655190501664705,0.0837589376915219,-2.469635569634669,0.0817601124749486
Qwen/Qwen1.5-1.8B-Chat,0.2563498625481126,0.2715923566878981,-0.9668998629994492,0.015242494139785512
Qwen/Qwen2-0.5B,0.189392273513164,0.1447468837445942,-1.8710186562773925,0.0446453897685698
Qwen/Qwen2.5-0.5B-Instruct,0.3699080137206009,0.4612058000508776,-0.0045793408005596,0.09129778633027669
ai-forever/mGPT,0.1838863542483886,0.1533757961783439,-1.8453324074740045,0.030510558070044685
allenai/OLMo-1B-hf,0.150347406537576,0.1291719745222929,-2.392421155253929,0.021175432015283102
allenai/OLMo-2-0425-1B,0.2682511336388711,0.255031847133758,-0.8531904776286059,0.013219286505113115
allenai/OLMo-2-0425-1B-DPO,0.3854583772499428,0.3556346985499873,0.0984005564749128,0.029823678699955503
allenai/OLMo-2-0425-1B-Instruct,0.3783305954149722,0.3937929280081404,0.0516760239226069,0.015462332593168204
arcee-ai/raspberry-3B,0.5451122198455189,0.5937821171634121,1.24618229636513,0.048669897317893174
google/gemma-2-2b,0.323158844419888,0.3730886850152905,-0.1852584657771602,0.04992984059540251
google/gemma-2b,0.2725780100252259,0.2834525025536261,-0.8869815812797802,0.01087449252840017
h2oai/h2o-danube-1.8b-chat,0.2605969510155089,0.2864424057084607,-0.9255260217335136,0.025845454692951797
h2oai/h2o-danube2-1.8b-base,0.2876626662747015,0.2561689137624014,-0.6536902087249448,0.03149375251230008
h2oai/h2o-danube2-1.8b-chat,0.3467707945764409,0.2448927477017364,-0.193930628529822,0.10187804687470448
ibm-granite/granite-3.0-2b-base,0.3306007848602844,0.3659531090723751,-0.1309200573631731,0.035352324212090724
ibm-granite/granite-3.1-2b-base,0.3355250723752042,0.351592356687898,-0.3190819774871393,0.01606728431269383
ibm-granite/granite-3.1-2b-instruct,0.3927995544096249,0.4655963302752293,0.2797744876207966,0.0727967758656044
ibm-granite/granite-7b-instruct,0.4996808997880387,0.4057711950970378,0.826043070832501,0.0939097046910009
ibm/PowerLM-3b,0.377172755180318,0.3635662898252826,0.1836816097758708,0.013606465355035402
meta-llama/Llama-3.2-1B,0.194879550206972,0.2294450154162384,-1.8487526050559329,0.0345654652092664
meta-llama/Llama-3.2-1B-Instruct,0.5104208894412823,0.5372829417773238,0.8895559884749807,0.026862052336041553
meta-llama/Llama-3.2-3B-Instruct,0.572688969591508,0.7679856115107914,1.404174802202406,0.19529664191928342
nvidia/AceInstruct-1.5B,0.5661867205158716,0.644750254841998,1.2680136656401582,0.0785635343261264
openbmb/MiniCPM-1B-sft-bf16,0.248239064948322,0.2477017364657814,-1.1771472947740316,0.0005373284825406222
openbmb/MiniCPM-2B-sft-bf16,0.3587205994392922,0.3209908069458631,-0.1020661680745229,0.03772979249342906
openlm-research/open_llama_3b,0.18672083065259,0.2338129496402877,-1.994924717929412,0.04709211898769772
pankajmathur/orca_mini_3b,0.2230928005756339,0.2961264016309888,-1.1198441752664965,0.07303360105535489
pankajmathur/orca_mini_v9_5_3B-Instruct,0.5615983140462742,0.6469681397738952,1.3403813441065746,0.08536982572762097
stabilityai/stablelm-2-1_6b-chat,0.2926288023438774,0.2727041465276011,-0.6074473376720556,0.019924655816276282
stabilityai/stablelm-2-zephyr-1_6b,0.2895568246782424,0.2979102956167176,-0.4527932318335703,0.008353470938475216
stabilityai/stablelm-zephyr-3b,0.3382861839762008,0.3065377766471636,-0.2290840914710933,0.03174840732903722
tiiuae/Falcon3-1B-Instruct,0.4087283950935786,0.4355249745158002,0.3770598881365497,0.026796579422221578
tiiuae/Falcon3-3B-Base,0.4333418837572824,0.45097037793667,0.4122586291949899,0.01762849417938761
tiiuae/Falcon3-3B-Instruct,0.5745511331443238,0.7127170582226762,1.2518756730023997,0.13816592507835235
utter-project/EuroLLM-1.7B,0.201614151235256,0.1982670744138634,-1.374923053153932,0.003347076821392597
utter-project/EuroLLM-1.7B-Instruct,0.283745842056974,0.2597636176772867,-0.6218506416706001,0.023982224379687334
