skill,advice_seeking,brainstorming,coding_debugging,creative_writing,data_analysis,editing,information_seeking,math,planning,reasoning,role_playing
advice_seeking,1.0,0.9322,0.9163,0.9379,0.9291,0.9533,0.9597,0.8485,0.9627,0.9732,0.9413
brainstorming,0.9322,1.0,0.9276,0.9706,0.9273,0.9375,0.9003,0.8631,0.9533,0.9518,0.9167
coding_debugging,0.9163,0.9276,1.0,0.9453,0.947,0.9344,0.9279,0.9406,0.9644,0.9476,0.9133
creative_writing,0.9379,0.9706,0.9453,1.0,0.9506,0.9625,0.9127,0.8567,0.9707,0.9573,0.9098
data_analysis,0.9291,0.9273,0.947,0.9506,1.0,0.9543,0.9187,0.898,0.9627,0.9465,0.926
editing,0.9533,0.9375,0.9344,0.9625,0.9543,1.0,0.9284,0.8715,0.9754,0.9687,0.9353
information_seeking,0.9597,0.9003,0.9279,0.9127,0.9187,0.9284,1.0,0.8753,0.9683,0.9734,0.9547
math,0.8485,0.8631,0.9406,0.8567,0.898,0.8715,0.8753,1.0,0.8915,0.8994,0.8852
planning,0.9627,0.9533,0.9644,0.9707,0.9627,0.9754,0.9683,0.8915,1.0,0.9838,0.9477
reasoning,0.9732,0.9518,0.9476,0.9573,0.9465,0.9687,0.9734,0.8994,0.9838,1.0,0.9623
role_playing,0.9413,0.9167,0.9133,0.9098,0.926,0.9353,0.9547,0.8852,0.9477,0.9623,1.0
