model,fold,criteria_administered,scenarios_administered,theta_ref_correctness,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,theta_ref_scaffolding,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding
01-ai/Yi-1.5-6B,2,82,19,0.9999668807124206,0.949032,0.7256769611849359,0.78503937176413,-0.8035845921263232,-0.334532,-0.5778987610997929,-0.5877252255318247
01-ai/Yi-1.5-6B-Chat,4,73,12,1.7238080875643744,2.075036,1.616994011834547,1.709342020368368,-0.7107789110907143,-0.315435,-1.8871002323349408,-2.6679089829059235
01-ai/Yi-6B,4,82,21,-0.587664856753342,-0.062797,-0.12470887119394145,-0.06780405784477164,0.029836676863951892,-0.165092,-0.19157979017705393,-0.20652259442899196
01-ai/Yi-6B-200K,1,91,20,-1.4942820080531198,-2.125071,-2.5693028261824087,-3.007705934128182,1.0075117354948997,0.717244,0.7674950707223163,0.8240273369975736
01-ai/Yi-6B-Chat,1,110,27,-0.18283622693920787,-0.848492,-0.9145825575602963,-0.9490153604305693,-0.6291952310224183,-0.231648,-0.30163916981946626,-0.3091060493664702
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,2,117,22,-3.624099785214156,-2.596111,-3.2613197325409864,-4.327580015409573,2.832684394097937,2.144432,2.402582041256417,2.686344598774755
BEE-spoke-data/smol_llama-220M-openhermes,2,76,14,-3.586019466446928,-1.526584,-1.8234095998003323,-2.026787681180883,1.0639839487145735,1.511634,1.4986651839462708,1.6650445814578014
BSC-LT/salamandra-2b,0,68,13,-2.6483051786326497,-1.756965,-2.3579521437021245,-2.9593390241399913,1.1393961116584514,1.358326,1.3213463833126102,1.3546662484665966
BSC-LT/salamandra-2b-instruct,2,79,14,-1.847796482227782,-1.451622,-1.7252965921403167,-1.851640639119464,0.3117871098935152,0.208979,0.17655490645234037,0.2712483059669253
BSC-LT/salamandra-7b,4,101,25,-0.6009315660696865,-1.012509,-1.1921082184619414,-1.2424699662823917,0.712154965630433,0.12551,0.13091489416067298,0.11910264058858394
BSC-LT/salamandra-7b-instruct,1,82,20,-0.4105746706588945,-0.82212,-0.9247558868648798,-0.9612571368285827,-0.05739500301597504,-0.479695,-0.5048453129520757,-0.5219552141314803
EleutherAI/pythia-1.4b,3,99,19,-1.7407350707536329,-1.595164,-2.1804899449483526,-2.6225619428934257,0.898649777679794,0.963091,0.9617887043393284,1.0539012169395787
EleutherAI/pythia-160m,0,66,15,-5.127409067914306,-1.729899,-2.5246902456788156,-3.568433096801652,1.6530309529084746,1.312879,1.3272042058280253,1.330123515532409
EleutherAI/pythia-1b,1,96,23,-2.4089804605314673,-2.438602,-3.318044598523517,-4.588113559715258,0.7743907742537531,0.493837,0.47066568760579713,0.5701020112612485
EleutherAI/pythia-2.8b,1,93,24,-2.438960033021968,-2.235305,-2.762644725487116,-3.3167684361949257,0.7207136430823031,0.624288,0.6632415762895073,0.7249652053010782
EleutherAI/pythia-410m,1,103,25,-3.5059838867204056,-2.380761,-3.118020138322664,-4.055098014217781,0.998153090356623,0.602842,0.5783585314134706,0.6297536699826818
