outer_fold,model,family,criterion_id,label,probability
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c01,0,0.30883850043995653
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c02,0,0.16945772649217794
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c03,0,0.06320989931065828
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c01,0,0.2670267678011361
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c02,0,0.04656588999349707
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c03,0,0.16327789207311078
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c01,0,0.44677957809969454
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c02,0,0.5762807058025702
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c01,1,0.32625464227738754
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c02,0,0.018567366424300572
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c01,0,0.4824017035795501
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c02,1,0.21110786227703654
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c03,0,0.04604725157859837
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c04,1,0.696398150278589
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c05,1,0.08694709434680783
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c01,0,0.017137323793849385
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c02,0,0.009598476524911172
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c03,0,0.0009398197805139589
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c01,0,0.45298156559957037
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c02,0,0.6386281271762996
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c03,0,0.6350442038799483
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c04,0,0.42835273055159345
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c01,0,0.8606873422395053
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c02,0,0.639123246614574
