model,split
01-ai/Yi-1.5-6B-Chat,train
AGI-0/Art-v0-3B,train
AI-MO/NuminaMath-7B-CoT,train
AI-MO/NuminaMath-7B-TIR,train
AI4free/Dhanishtha,train
Ahdoot/StructuredThinker-v0.3-MoreStructure,train
Ahdoot/Test_StealthThinker,train
AicoresSecurity/Cybernet-Sec-3B-R1-V0,train
AicoresSecurity/Cybernet-Sec-3B-R1-V1,train
Alepach/notHumpback-M0,train
Alepach/notHumpback-M1,train
Alepach/notHumpback-M1-v2,train
Amaorynho/BBAI2006,train
Amaorynho/BBAI_375,train
Amu/t1-1.5B,train
Amu/t1-3B,train
Arthur-LAGACHERIE/Precis-1B-Instruct,train
Artples/L-MChat-Small,train
AtAndDev/Qwen2.5-1.5B-continuous-learnt,train
AuraIndustries/Aura-4B,train
Ayush-Singh/Llama1B-sft-2,train
BEE-spoke-data/smol_llama-220M-openhermes,train
BEE-spoke-data/tFINE-900m-e16-d32-flan,train
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,train
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,train
BEE-spoke-data/tFINE-900m-instruct-orpo,train
Ba2han/Llama-Phi-3_DoRA,train
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,train
BrainWave-ML/llama3.2-3B-maths-orpo,train
BramVanroy/fietje-2,train
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,train
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,train
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,train
Columbia-NLP/LION-Gemma-2b-odpo-v1.0,train
Columbia-NLP/LION-Gemma-2b-sft-v1.0,train
ContactDoctor/Bio-Medical-3B-CoT-012025,train
ContactDoctor/Bio-Medical-Llama-3-8B,train
CoolSpring/Qwen2-0.5B-Abyme,train
CoolSpring/Qwen2-0.5B-Abyme-merge2,train
CoolSpring/Qwen2-0.5B-Abyme-merge3,train
Corianas/Quokka_2.7b,train
CortexLM/btlm-7b-base-v0.2,train
Daemontatox/NemoR,train
Daemontatox/ReasonTest,train
Daemontatox/Research_PathfinderAI,train
Daemontatox/TinySphinx,train
Daemontatox/TinySphinx2.0,train
Daemontatox/mini-Cogito-R1,train
Danielbrdz/Barcenas-3b-GRPO,train
Danielbrdz/Barcenas-R1-Qwen-1.5b,train
Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,train
Dans-DiscountModels/mistral-7b-test-merged,train
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,train
Davidsv/SUONG-1,train
DavieLion/Llama-3.2-1B-SPIN-iter0,train
DavieLion/Llama-3.2-1B-SPIN-iter1,train
DavieLion/Llama-3.2-1B-SPIN-iter2,train
DavieLion/Lllma-3.2-1B,train
DeepAutoAI/Explore_Llama-3.2-1B-Inst,train
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v0,train
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1,train
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,train
DeepMount00/Lexora-Lite-3B_v2,train
DeepMount00/Qwen2-1.5B-Ita,train
DeepMount00/Qwen2-1.5B-Ita_v2,train
DeepMount00/Qwen2-1.5B-Ita_v3,train
DeepMount00/Qwen2-1.5B-Ita_v5,train
DeepMount00/Qwen2-1.5B-Ita_v6,train
Delta-Vector/Henbane-7b-attempt2,train
DreadPoor/Again-8B-Model_Stock,train
DreadPoor/Asymmetric_Linearity-8B-Model_Stock,train
DreadPoor/Elusive_Dragon_Heart-8B-LINEAR,train
DreadPoor/Here_We_Go_Again-8B-SLERP,train
DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,train
DreadPoor/VENN_1.2-8B-Model_Stock,train
ECE-ILAB-PRYMMAL/ILAB-Merging-3B-V2,train
EleutherAI/pythia-1.4b,train
EleutherAI/pythia-1b,train
EpistemeAI/Athena-gemma-2-2b-it-Philos,train
EpistemeAI/DeepPhi-3.5-mini-instruct,train
EpistemeAI/Llama-3.2-3B-Agent007-Coder,train
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,train
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.3,train
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1,train
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO,train
EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math,train
EpistemeAI/ReasoningCore-3B-0,train
EpistemeAI/ReasoningCore-3B-R01,train
EpistemeAI/ReasoningCore-3B-RE1-V2,train
EpistemeAI/ReasoningCore-3B-RE1-V2A,train
EpistemeAI/ReasoningCore-3B-RE1-V2B,train
EpistemeAI/ReasoningCore-3B-RE1-V2C,train
EpistemeAI/ReasoningCore-3B-T1-V1,train
EpistemeAI/ReasoningCore-3B-T1_1,train
EpistemeAI2/Athene-codegemma-2-7b-it-alpaca-v1.2,train
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties,train
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties-v2,train
FINGU-AI/Phi-4-RRStock,train
FINGU-AI/Q-Small-3B,train
FlofloB/100k_fineweb_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,train
