model,mean_scenarios,online_ability_sd,online_ability_mean,full_ability,batch_ability_sd,batch_ability_mean,mwle_ability_sd,mwle_ability_mean
01-ai/Yi-1.5-6B,10.25,0.3942047969066768,-0.188432625,0.015894371542047106,0.3935178250282467,-0.2220729221652833,0.4291913215621109,-0.22106406254035602
01-ai/Yi-1.5-6B-Chat,11.125,0.144033648562096,1.125987125,1.3998465729025817,0.12235855714164678,1.129479015738268,0.1181249847302741,1.1534851403411495
01-ai/Yi-6B,9.25,0.2241366771375225,-1.244783,-1.2497996233585755,0.19177821498505002,-1.392761455675817,0.18251774867654325,-1.4112280924092029
01-ai/Yi-6B-200K,9.25,0.06582322953171148,-1.056669625,-0.8556179368237515,0.042114963921549516,-1.0818942066781254,0.03777707601975198,-1.118804289444016
01-ai/Yi-6B-Chat,9.625,0.04637130444035405,0.4588855,0.36321455280212955,0.07662238930946264,0.44856018235154915,0.0696660321932806,0.4713916458750668
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,9.0,0.3443044393022693,-1.8951135,-4.692239884851475,0.26113205414268625,-2.5533950053692096,0.2453920041040571,-2.9003629035163114
BEE-spoke-data/smol_llama-220M-openhermes,8.75,0.41085475955675316,-1.77748175,-4.2367862339118005,0.2682973741023306,-2.512698713107856,0.2813450255443704,-2.8610719688397888
BSC-LT/salamandra-2b,9.0,0.1754144061763101,-1.6535392500000001,-2.1389297436414285,0.1107016374689452,-2.312958933229702,0.15702531743032014,-2.6025508707770153
BSC-LT/salamandra-2b-instruct,9.75,0.12626661629959832,-0.980195,-1.2020133215284905,0.12547783343210908,-1.0143086798971597,0.10213030868284076,-1.0612223947089774
BSC-LT/salamandra-7b,10.625,0.27028591975813315,-0.7486349999999999,-0.9962522258673734,0.3065777684340557,-0.889064386120509,0.3165488277656139,-0.8768007141526903
BSC-LT/salamandra-7b-instruct,9.5,0.14041079640469248,0.2522225,0.19449121225891627,0.14086319237386202,0.20467205265902194,0.13984413451773908,0.220775362917152
HuggingFaceTB/SmolLM2-360M,9.0,0.18301976461761582,-1.5744682499999998,-2.1884298390393973,0.2154701359984292,-2.1887053172412596,0.31687701613722463,-2.4271354491677775
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,10.375,0.17327722190611206,1.92055,2.270401589823911,0.11223565796452276,2.300094729922283,0.11580905411840613,2.215125012780596
OpenBMB/MiniCPM4-0.5B,10.25,0.08127016727403727,-0.0268265,-0.306748061284794,0.09439373529723954,-0.041816051390467,0.07760371817812782,-0.007776489242224483
Qwen/Qwen1.5-1.8B,9.25,0.16191695240225584,-1.392049625,-2.494987855987101,0.3895350875349261,-1.8402190993605854,0.5315120549889736,-2.0059177462595947
Qwen/Qwen1.5-1.8B-Chat,10.5,0.05086978303411072,-0.28927475,-0.5236598508726719,0.038001989361552295,-0.3249080925194,0.051879286210276224,-0.2970644120293391
