model,fold,scenarios_administered,criteria_administered,theta_ref_overall,theta_online_overall,theta_batch_overall,theta_mwle_overall,theta_mle_overall,obs_pass_rate,pred_pass_rate
01-ai/Yi-1.5-6B,3,8,79,-0.5380909472912593,-1.110234,-1.1033771346744996,-1.1174921298719982,-1.1172673466289278,0.20099105632100556,0.1332255080597373
01-ai/Yi-1.5-6B-Chat,2,8,65,1.6730276209966157,0.819005,0.8282693162512225,0.8458272127652436,0.8403149016018967,0.5573487741776518,0.3736277338089031
01-ai/Yi-6B,1,10,106,-1.5270305751652182,-1.859765,-2.0274383383002252,-2.0482419141415478,-2.065901930269593,0.11045245584321316,0.07004977567436178
01-ai/Yi-6B-200K,3,8,87,-2.2908452378527757,-1.587762,-1.6363282112264959,-1.6309877270218756,-1.6494885302730553,0.06574812666183225,0.09609944284374274
01-ai/Yi-6B-Chat,3,8,57,0.6519890850012034,1.310108,1.304632378618112,1.320648495701815,1.3193946138054777,0.36177928200169224,0.4678954733858198
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,16,157,-4.778169859191563,-3.125136,-4.10531789252712,-4.710320527486718,-4.909025917766191,0.007396072430502423,0.017676603601857434
BEE-spoke-data/smol_llama-220M-openhermes,0,10,105,-3.903734207828694,-1.871439,-2.7730740764635913,-2.794164708264681,-2.873038355048813,0.008168739331870276,0.0372580253840693
BSC-LT/salamandra-2b,0,8,86,-2.0320491451936094,-1.94883,-1.9331491737157607,-1.9787442987130428,-1.971389023606147,0.05900999756157035,0.06366192811521573
BSC-LT/salamandra-2b-instruct,0,8,84,-0.6065952676468912,-0.290312,-0.2944540521360025,-0.286097673859622,-0.291002639238344,0.13984394050231652,0.19273247707979818
BSC-LT/salamandra-7b,3,9,86,-1.4491740044127173,-1.539153,-1.602300720412287,-1.6016857651737715,-1.6172381141206416,0.1166445062250695,0.09789677825591353
BSC-LT/salamandra-7b-instruct,2,8,92,0.4185833593846462,0.138537,0.11776922225006071,0.11651389135608597,0.11736679101372886,0.3145250708389799,0.25300696971911496
