model,pirt,actual,items,fold
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.29853515899222083,0.2568149210903874,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.3193585885336303,0.2582496413199426,8,0
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.09132280857852236,0.2539454806312769,27,0
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.2371770665520803,0.2223816355810617,8,0
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.2806630679843283,0.27403156384505023,8,0
jaspionjader/test-11,0.13853787069016885,0.32568149210903874,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.29853515899222083,0.25107604017216645,8,0
Sakalti/Sailor-japanese,0.1304673074204716,0.242467718794835,11,0
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.3193585885336303,0.23959827833572453,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.29853515899222083,0.25968436154949787,8,0
Daemontatox/Zirel_1.5,0.08039480306382507,0.29124820659971307,40,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.29853515899222083,0.2697274031563845,8,0
zelk12/Test01012025155054,0.2281477676832234,0.2223816355810617,8,0
godlikehhd/alpaca_data_ifd_min_2600,0.18521355234718784,0.2812051649928264,8,0
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.3193585885336303,0.24103299856527977,8,0
J-LAB/Thynk_orpo,0.2159708243023767,0.2769010043041607,8,0
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.2888084473516226,0.2654232424677188,8,0
iFaz/llama31_8B_en_emo_v4,0.3193585885336303,0.28263988522238165,8,0
bamec66557/VICIOUS_MESH-12B,0.17593979084324649,0.32711621233859395,8,0
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.187828558599074,0.2697274031563845,8,0
DeepMount00/Lexora-Lite-3B,0.23331113091059208,0.24820659971305595,8,0
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.23331113091059208,0.2381635581061693,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.29853515899222083,0.27116212338593976,8,0
JayHyeon/Qwen-0.5B-DPO-5epoch,0.15302802898694956,0.2539454806312769,8,0
BlackBeenie/Neos-Llama-3.1-base,0.06972618824787895,0.25251076040172166,72,0
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,0.17726086496708915,0.2797704447632712,8,0
pankajmathur/orca_mini_v9_6_3B-Instruct,0.16829100435101652,0.28694404591104733,8,0
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.3193585885336303,0.22525107604017217,8,0
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,0.3193585885336303,0.2654232424677188,8,0
nvidia/Hymba-1.5B-Base,0.2141799787072661,0.22381635581061693,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.29853515899222083,0.25538020086083213,8,0
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.3383783907255564,0.24820659971305595,8,0
hotmailuser/QwenSlerp2-3B,0.1783751033662496,0.28694404591104733,8,0
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,0.3193585885336303,0.2309899569583931,8,0
Sakalti/Saka-1.5B,0.2806630679843283,0.25968436154949787,8,0
LEESM/llama-2-7b-hf-lora-oki10p,0.46505839640696023,0.2611190817790531,8,0
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.2371770665520803,0.18794835007173602,8,0
microsoft/Phi-4-mini-instruct,0.3193585885336303,0.29555236728837875,8,0
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.10733633297174003,0.2611190817790531,14,0
dwikitheduck/gemma-2-2b-id-inst,0.15165932288314887,0.2898134863701578,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.29853515899222083,0.2611190817790531,8,0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.29853515899222083,0.2539454806312769,8,0
mrdayl/OpenThink,0.12678356505906607,0.2898134863701578,12,0
Sakalti/tara-3.8B,0.13243547091174893,0.29411764705882354,8,0
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,0.36802129911074444,0.27259684361549497,8,0
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,0.09121247693333896,0.24103299856527977,30,0
macadeliccc/magistrate-3.2-3b-base,0.15652977372146587,0.2568149210903874,8,0
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.1339458308034993,0.2926829268292683,8,0
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.20244119330705682,0.2812051649928264,8,0
godlikehhd/alpaca_data_score_max_0.3_2600,0.16303360124691516,0.29555236728837875,8,0
zake7749/gemma-2-2b-it-chinese-kyara-dpo,0.15165932288314887,0.27403156384505023,8,0
SultanR/SmolTulu-1.7b-Reinforced,0.11269674908895277,0.29555236728837875,12,0
openbmb/MiniCPM-S-1B-sft-llama-format,0.3193585885336303,0.2539454806312769,8,0
allenai/OLMo-7B-Instruct-hf,0.10969957373017374,0.2783357245337159,13,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.1567356704629594,0.23672883787661406,8,0
arcee-ai/raspberry-3B,0.17780224260660288,0.27116212338593976,8,0
cjvt/GaMS-1B,0.3193585885336303,0.2223816355810617,8,0
qingy2019/LLaMa_3.2_3B_Catalysts,0.11901308515325658,0.2984218077474892,10,0
awnr/Mistral-7B-v0.1-signtensors-1-over-4,0.11901308515325658,0.2855093256814921,10,0
microsoft/Phi-3.5-mini-instruct,0.17593979084324649,0.34433285509325684,8,0
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,0.20967095650872228,0.2926829268292683,8,0
