atlas_idx,item_id,subtask,split_index,question
1,52446ff87edf97b4,ifeval,0,"Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Coun"
2,3d64b77194332886,ifeval,1,"I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a S"
3,d21c396cef9d7c90,ifeval,10,Write a blog post with 400 or more words about the benefits of sleeping in a hammock.
4,578d0c3e1e08f49c,ifeval,100,"Write a file for a queer-owned business called ""The Rainbow Cafe"". Your file should have 4 secti"
5,314638c13175e3ea,ifeval,101,I want to apply for a job as a software engineer at Google. Can you write me two different cover
6,07ca797e23e288bd,ifeval,102,"Name a new fashion company that young people might like, and give it a name with multiple meanin"
7,f5102e454ebc826d,ifeval,103,Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyr
8,6b4cc7daad187638,ifeval,104,"Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, t"
9,68713cb2b07e1967,ifeval,105,Write a story for kids about how a person learns to ride a bike. Do not include 'can' and 'ride'
10,aa5496cf74dc2695,ifeval,106,"Criticize this sentence in a funny way: ""Nhiệm vụ của mẹ là nuôi dạy con cái."" Provide exactly t"
11,b812b0fb59726f00,ifeval,107,Write two limericks for moms about how hard it is to get their kids to do chores. Be angry about
12,8c98ea84171399d6,ifeval,108,Summarize the following paragraph. Use words in all capital letters at least 3 times to highligh
13,7db51c03385eb508,ifeval,109,Compose a poem all in lowercase letters about my friend Barnet.
14,ae391351970c032a,ifeval,11,Can you help me make an advertisement for a new product? It's a diaper that's designed to be mor
15,f41137e327fa2828,ifeval,110,"First repeat the request below, word for word without change, then give your answer. Do not say "
16,286ce43538a26252,ifeval,111,Write an extremely short essay on the role of mythology in the work of Jordan Peterson. Keep you
17,9de546c56535352b,ifeval,112,What's a good way to ask Sonia out? Please reply with exactly 4 paragraphs and separate each par
18,09cf0cc860f90dc7,ifeval,113,Write a rap about a new smartphone. At the end of your response add a postscript starting with P
19,91a72a2e1c4e6945,ifeval,114,I really love the album called Lilith. I want to introduce it to my friend Luheng. Draft an emai
20,010f2584204fd26e,ifeval,116,Make the sentence “The bus arrived at the station” sound more interesting. Avoid using the word 
21,65815f78d1c6ba3c,ifeval,117,"Create a 5 day itinerary for a trip to Mesa, Arizona. Wrap your entire response with double quot"
22,ee97c05002731386,ifeval,118,Make a rubric for a home theater installation targeting moms. Your answer must contain exactly 4
23,42eb307bfd0204e9,ifeval,119,Write a short essay about the updates of the latest episode of your favorite TV show. Use less t
24,03b335549ca0e923,ifeval,12,Write a story of exactly 2 paragraphs about a man who wakes up one day and realizes that he's in
