atlas_idx,item_id,split_index,question
1,68dffa89bb939011,0,How do I ready a guinea pig cage for it's new occupants?
2,0358d187d0a4391e,1,dresser
3,02371c61efb6f713,2,To fight Ivan Drago in Rocky for sega master system.
4,d4b6fffc5384db2c,3,Make outdoor pillow.
5,5617f0142f8bcd3e,4,ice box
6,3021877490526acc,5,Remove soap scum from shower door.
7,24b9efb837f57a1e,6,Recycle a spray bottle for a new cleaner.
8,c5e0b0ae882e34d8,7,How do you attach toilet paper to a glass jar?
9,91c0fb94b6840aed,8,How to make tissue paper window decorations?
10,6dd72475fa418d73,9,Neatly wrap up an extension cord.
11,a61617d9ccb1d59c,10,Extend life of flowers in vase.
12,6f6792dad5ce4b67,11,how do you put eyelashes on?
13,af30cbde5aa64766,12,Find spices easily in the kitchen.
14,479c4a86cf999810,13,peeler
15,d7ef33e510ee9adb,14,How to clean blinds without tearing them up
16,a2e2f8bb21b4b912,15,What material is a steel rocking chair made out of?
17,0ab8a99bf661072e,16,"To get a video game console for a cheap price,"
18,997f7e21a81846e7,17,How do you properly prepare a steak.
19,a7d4cb89d5e8d35a,18,"To cream butter and sugar together, you can"
20,1dfede041c3b1219,19,How to best cut the meat to place on a grill?
21,7bf1dc0f071cd8c7,20,What alcohol do you pour for a mojito?
22,f517a7a8e55615fa,21,How to start an automatic transmission car.
23,ab7b5bf80ec87dde,22,How to make sure all the clocks in the house are set accurately?
24,878d7182193131a8,23,How do you make plain toast?
25,5ad2628e22bf6db8,24,Make a bulletin board.
26,447109eea4085f2e,25,How do you make raw nuts have more flavor.
27,49dc5a4743fa972c,26,"To prepare carrots before cooking with them, you can"
28,448e1066e04e2483,27,plastic bag
29,0e668271924fe936,28,"To discourage house flies from living in your home,"
30,285d97b8c7c69058,29,How to make Caramel Chocolate chip Girl Scout Cookie Vanilla Ice cream at home.
31,841ce901b9e326b3,30,To combine cake ingredients.
32,e2208fb1dbffecfb,31,"To prevent gunk buildup in cup holders of a car,"
33,38fba0a6674e6d34,32,"To quarter biscuits, you can"
34,b72543b3adaa40a6,33,"To make a bedroom temperature colder without a fan or air conditioner,"
35,62e7fc60bd731e0a,34,how to get fluffy cookies
36,128524d5999f6e27,35,How to brine a turkey before cooking?
37,3dbc5e4dc56088eb,36,To spare the plant while picking lettuce
38,360736f885ad33d4,37,"To cook perfectly golden pancakes,"
39,71cb687f4a6f89e9,38,generate poetry by using random words.
40,86272aafdbf530d3,39,To fill a bucket with sand
41,5633935325db9f27,40,To set the J bolt into the concrete mix in the mold.
42,878c515004ba9e0c,41,Eliminate odors in the laundry room.
43,c3f49541bef58d61,42,How do I fill holes and tiny gaps in the concrete when making a concrete countertop?
44,8b4b60e5e1c6cda0,43,a bucket
45,b39ca07b56c86ef9,44,"When I'm deep frying a turkey, how defrosted should it be?"
46,da9aa5852477878d,45,How do you remove gum from being stuck in hair?
47,09272f43524c4992,46,fire
48,74862b43b1941def,47,How long should liquid nails dry?
49,1dc03adb9ca2416b,48,"To get the best deal at amusement parks,"
50,506aea2b94fa6e75,49,One seeks to make a cord weave.
51,607c279be9b65359,50,To make wires look like tree branches on a wire tree.
52,3d67f5f8093d9935,51,How do I remove wrinkles from a new leather jacket that has never been worn
53,c88818664ce9dee2,52,Kill fruit flies easily.
54,0354d25ddc677ae5,53,"To prevent splinters from cut wood,"
55,ca62936f69a795f2,54,Trim apple trees.
56,a71c69357375b924,55,How to easily form a perfectly round snowball?
57,f071dd5c3453174c,56,How do I get my coffee to taste less dark?
58,0d77f54f1dd9dce5,57,how do you use headphones?
59,612d01327d67b443,58,"After staining wood, you should"
60,6b7d3cf8ea78c3b4,59,How to order room service
61,b6d0d32e2a9070fc,60,How to sneak past guards in Metal Gear NES?
62,d877c4187d9b1ade,61,What are the benefits of anti-allergen vacuum cleaners?
63,7d3acd9703db901f,62,How do you make an oil and vinegar dressing?
64,de6b149d29023fea,63,Avoid germs from hotel bed.
65,ad79360649d7efc4,64,To allow the oil for the turkey fryer to reach the correct cooking temp
66,e2a054bbe86db198,65,how to clean a container that held melted wax
67,20bedde100a34629,66,How to light a candle with a deep seated wick?
68,225c1f1991b63288,67,To shape duct tape into a perfect circle.
69,6edcaf4580a98c2c,68,What can you do when someone presses all the buttons on the elevator then gets off and you are i
70,8fd5e65090def40f,69,What materials are needed to hand sew an article of clothing?
71,1804d573a5aaa81b,70,"To make a hard shelled taco,"
72,0afa8ba710774829,71,One wants to eat Vegetarian.
73,85b169f2e8e521b0,72,How do I find something I lost on the carpet?
74,ff3e4862115cf6b5,73,"To make small candles to float in water,"
75,b735630b10fe7815,74,To clean your microwave without having to scrub it.
76,8ba4ee0378f72163,75,"To bend a PVC conduit,"
77,878357459028cb3c,76,Make a camping shower head.
78,65e82612d09f3350,77,Make Halloween lanterns.
79,b0d5c8766ea1b2af,78,change a lightbulb in a ceiling fan
80,980cb804bfe1c6f8,79,Which direction to properly install an air filter.
81,31b8f46e3a80c74e,80,"Protect a bare shiny piece of metal, like a hinge, from rusting."
82,cedc7e7f9533f884,81,making a picture Frame on Your Wrist
83,dfc14d45b3baf61e,82,How do you bake a cheesecake properly?
84,7f7a7fba22d1d6b2,83,Easy way to hang your shoes in your closet.
85,84bf3657cd7026c3,84,Get cheap pizza.
86,7ea1ea30060462eb,85,How do you harvest honey from a bee box?
87,7c6d4b70bb5a96e6,86,What supplies are needed to make a small decorative Christmas tree?
88,7ff14b2dc7ddb877,87,How to create Dorodango (Japanese mud-art).
89,5f519ae425be644c,88,How to sleep in proper posture?
90,deeda5e064a42bbc,89,"To extend the shelf life of lettuce,"
91,685bf4cffd5eba3d,90,To dye the white fondant to make the fondant roses
92,d6049b22d8852278,91,To make seed starter pots
93,6e77dddf5d52cda9,92,To prepare a loaf pan for Blueberry Lemon Financiers.
94,300d7eb15d8cd04e,93,How can I raise and lower a picavet with a camera attached so it can be flown with a kite?
95,a31073ea9a8099f8,94,Increase ability to learn something new.
96,cd18d447649c5e49,95,"When building a survival fishing kit, what can you use to make fishing hooks?"
97,d1930801411b341d,96,How can I set my umbrella up on my deck more effectively?
98,10c921a462055417,97,"To remove sharpie pen from a couch,"
99,47f78b0e062c5b61,98,To remove folds and creases from a sewing pattern
100,bea150303699deab,99,how to get perfectly done grilled meat
101,b8b1d468e35875a2,100,how do you floss your teeth with a toothpick?
102,b21e51e3788faff7,101,how to winterize windows
103,986240ebc7738b03,102,PET ANT
104,2c51be08b5321a1b,103,How can I get free gym memberships?
105,86ae1ba2c91606bf,104,how do you use cream?
106,be5eea0a0145d3d3,105,Make a picture for your fish tank.
107,05354eefe955e1be,106,To get a good look at the hidden space above a room.
108,40b5ce7dc9657f65,107,To build a giant Jenga set
109,60a557021abadc51,108,tissue
110,264d3abe628820e3,109,What is the best material to be used for the solar air heating box?
111,0b8dca049c0c16e3,110,how to dry flowers
112,c6e1bd07d71f7962,111,How can I give a home made dog bed shape?
113,7a1f55cf09aee3e5,112,To create a replica of Back to the Future's Sports Almanac.
114,9f323fdc77916460,113,how do you give your fingerprints at a police station?
115,24191ad4499caa37,114,"To get bricks to stay together permanently when building a structure, you can"
116,db2512634558fb02,115,Add taco filling easily.
117,e99b657ef03abd3d,116,Learn how to use a candy thermometer.
118,339dc9fcd89667c4,117,"To smooth mayo onto raw chicken, you can"
119,267dc4eb6da74eb0,118,how do you keep blood circulating in your legs?
120,b0fc308f794edeea,119,Make temporary hair dye for kids.
121,4e3c8774860d3e09,120,how to keep bedding wrinkle free
122,ca824236ad3af32f,121,"To tear apart a cheeseburger, you can"
123,caa14a641071e4b2,122,crossing out
124,eb09f6444162c26c,123,How to grow a plant.
125,98da20212707a1bd,124,Maximize full toothpaste.
126,a224c8e248ab21a1,125,"To seal the end of a plastic tube,"
127,402d4726a7295b1e,126,How can I get more use out of my utility knife?
128,76c61ae47e08d8a0,127,"To attach magnets to a piece of wood, you can"
129,205d2f963880407b,128,ask for help reading it
130,705c9cb8e8627d1d,129,"To simmer water, you can"
