atlas_idx,item_id,split_index,question
1,81f6ac1831e8d486,9792,Personal Care and Style: How to increase breast size with a bra. Check your bra size. Wearing a 
2,f19158af43c2f4e6,1027,Washing face: A girl stands in front of a bathroom mirror and vigorously rubs her face. The girl
3,8cf5d3b2560d2913,5366,Home and Garden: How to paint basement stairs. Remove any carpet or overlaid material from your 
4,9b673f5a384f9ed9,615,Zumba: A dance team dressed in black with pink letters shows a routine put to reggae music. The 
5,63ebcaa82b060f73,5402,Family Life: How to deal with a child not wanting to go to school. Track how often they resist s
6,a2ad99ec00abbc55,477,Cheerleading: A group of cheerleaders are seen walking on stage while the audience cheers. The g
7,f25c6db5b5a16ad6,955,Layup drill in basketball: A coach gives instructions to boys in a basketball court. Then
8,9ef47e3e3628b4b0,6124,Personal Care and Style: How to apply mascara. Decide what you want out of your mascara. There i
9,882c654c90947acd,509,Ice fishing: A man is kneeling on a frozen lake. A video is shown of the cold waters below. A fi
10,66161ad242c4c85c,9823,Finance and Business: How to obtain full custody. Sit down and talk. Although it may be enormous
11,42ffcadd2a5ef866,7153,Personal Care and Style: How to layer cut your own hair. Check yourself out in the mirror. Since
12,8178e440c172b4f3,4765,Finance and Business: How to generate employee referrals. Build a happy corporate culture. Have 
13,8d11b7be63747d86,3008,Clean and jerk: A man is seen bending down before a set of weights with others watching him on t
14,c8f1448e1a423140,5604,Home and Garden: How to get bad smells out of a microwave. Place 4 teaspoons (20 ml) of white vi
15,ab9e3b7664c5b405,9817,Pets and Animals: How to find a missing pet. Search your home. Often times a pet will hide somew
16,74d6e67ec7678e28,2813,Fun sliding down: The boy stands at the bottom of a small staircase and then he walks up to slid
17,1fbb414f4947d94e,4418,Personal Care and Style: How to stop your shoes from squeaking. Sprinkle baby powder underneath 
18,79dfe73deb7d2b4f,2233,"Layup drill in basketball: He begins by showing the basic technique of the regular lay-up throw,"
19,dd71bc352c80b6b3,2598,Using the pommel horse: A male gymnast is on a mat in front of judges preparing to begin his rou
20,2b3bb142a21068ce,8775,Family Life: How to wish someone a happy retirement. Choose a card that is sentimental to emphas
21,a4b26c5ae3022345,4950,Family Life: How to become a professional bachelor. End any serious relationship you may have wi
22,798ffce40bb3c6f6,7582,Family Life: How to care for a baby. Feed your little one. Nutrition is one of the key parts of 
23,45cad223e45b3a6c,1970,Table soccer: Two men plays foosball in an arena with two referees standing near by watching the
24,a7706cbec13ee6da,7515,Finance and Business: How to add an interested party to a renters insurance. Add the interested 
25,6b45d99adf95eb5b,7095,Computers and Electronics: How to connect a guitar or bass guitar to a macbook. Consider a di bo
26,9ec4f252361e9be7,5137,"Sports and Fitness: How to be a successful sports player. Be a "" go-getter "". The first step to "
27,6eb1583c021e5f9a,5899,Pets and Animals: How to clean a fish bowl. Figure out how much water your bowl holds. In order 
28,7d921700e8d35c99,6533,Family Life: How to keep a parenting journal. Write consistently. When keeping a custody journal
29,11b75e285dd2d36e,8969,Home and Garden: How to hunt turkeys. Obtain your hunting license. Contact your local department
30,113eeb56b577947a,2528,Making a sandwich: The person then cuts up vegetables and butters bread then putting various ing
31,931db91363deb0e0,4251,Pets and Animals: How to stop an aggressive cat. Make a loud noise to distract the cat. A noise 
32,d5e5820cda7eb514,5597,Personal Care and Style: How to make a finger loop bracelet. Gather your supplies. For this you 
33,e2461a36157a2060,3009,Clean and jerk: A man is seen bending down before a set of weights with others watching him on t
34,9ae2b8750cb3d721,1613,Drinking beer: The man is laughing and speaking to the camera about the can in his hand. He pour
35,5c0586be6af54d8a,1603,Running a marathon: A large group of people are seen running down a track and transitions into s
36,3be42700ce64c336,7339,Family Life: How to react if your husband calls you fat. Take a moment to breathe before respond
37,7162c851c67d86f4,8522,Family Life: How to change a diaper in a car. Get out of the car and open the boot (trunk). Clea
38,64ac1445adcd6d97,2919,Making a lemonade: One of the parents is talking to the news reporter about the fund raiser. Thr
