atlas_idx,item_id,split_index,question
1,d8e081c1e4ca0fd0,187,"People think _ is embarassed, because Samantha made snide comments about the shirt Rebecca was w"
2,edb1cf543bdc9292,719,"For her birthday gifts, Sarah was upset with the pearls, but felt the opposite about the rings s"
3,dfc3b61ebae90755,618,"Erin knew the perfect gift for the wedding shower, but Samantha had to do some research, because"
4,f92e6f3b9540e695,35,I wanted to build a bathroom on the third floor of the house but I couldn't because the _ would 
5,defbeb9505685048,404,"At their high school's homecoming dance, Natalie stayed on the floor for the slow dance while Ma"
6,e4b39ce7c32ef779,462,So _ ignores Google to search for information because Betty trusts in it and Cynthia doesn't.
7,1e14af9f7f6dc8d5,1033,"Felicia ran out of shirts and borrowed one from Patricia, but _ didn't ask permission ahead of t"
8,55924c0c292d3b7c,540,The bagel shop was closer to Michael than Joel because _ lived in a different area of town.
9,a7350977aaeaa65c,1179,Jennifer thought it was important to neuter a dog and Rachel did not because _ knew lots of anim
10,62b2eb96afdda2ce,2,"They were worried the wine would ruin the bed and the blanket, but the _ was't ruined."
11,794fde12aacb04ae,66,"Mary wanted to get another piercing in her ear, but the _ was much too tiny."
12,edfd3da47c6afa0e,587,The water in the car was hotter than the water in the truck because the engine in the _ had run 
13,b4e361f8f246e87e,1051,The patient took calcium to fix his broken bone but the _ was too weak.
14,7733a9945e0251a7,49,Tanya spent more on the children's birthday party than Amy. _ thought a magician was a good use 
15,9b31eda2aaebf7a4,1173,"I handed the documents over to immigration with the passports, but they only accepted the passpo"
16,650a161c8fc13f3b,90,I helped my sister find her gold necklace. She couldn't wear her woven necklace to the ball beca
17,9d69c6eabb4e656f,347,Jane loved travelling internationally. The current country she was in preferred wine over tea be
18,e6b57a13b9289b3b,1248,"To remove the stain he reached for soap first, then got up and got a bowl. The _ was close by."
19,f7531a17ec345845,1230,James always feel weak whenever he walked the length of his street so he decided walking just th
20,f0580dca5b00a9a7,479,The quality of music produced largely depends on the instrument used. The _ is vital.
21,f851b011f90e967e,744,Randy was going to see an X-rated film but was stopped on the sidewalk and yelled at by Nick. Th
22,a1e69b125e431d6a,823,"Monica was worried that Mary might be caught in a scam when they started their new job, but _ de"
23,c646e4393dd97303,210,Lawrence liked watching foreign movies with subtitles unlike Jason because _ appreciated the ori
