model,theta_mwle,n_obs_criteria,pred_pass_rate,actual_pass_rate,abs_err,weak
01-ai/Yi-1.5-6B,0.3714860924059562,1186,0.2962,0.2589,0.0374,False
01-ai/Yi-1.5-6B-Chat,0.55597150014804,1186,0.3245,0.5042,0.1797,False
01-ai/Yi-6B,-0.8697859954850861,1186,0.1461,0.1147,0.0315,False
01-ai/Yi-6B-200K,-1.2121980533861358,1186,0.117,0.1568,0.0398,False
01-ai/Yi-6B-Chat,0.4855918926991771,1186,0.3135,0.3002,0.0134,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.83523295872696,1186,0.0176,0.0051,0.0126,True
BEE-spoke-data/smol_llama-220M-openhermes,-2.984308762089024,1186,0.032,0.0076,0.0244,False
BSC-LT/salamandra-2b,-2.356695220078519,1186,0.0521,0.0675,0.0154,False
BSC-LT/salamandra-2b-instruct,-0.8266079047836707,1186,0.1502,0.1248,0.0254,False
BSC-LT/salamandra-7b,-0.5194147253020188,1186,0.1812,0.1484,0.0328,False
BSC-LT/salamandra-7b-instruct,-0.0325827246568621,1186,0.2394,0.2749,0.0355,False
HuggingFaceTB/SmolLM2-360M,-1.5347494316515096,1186,0.0942,0.0565,0.0377,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4778943178405823,1186,0.6853,0.6324,0.0529,False
OpenBMB/MiniCPM4-0.5B,-0.1261991746456605,1186,0.2273,0.1931,0.0342,False
Qwen/Qwen1.5-1.8B,-1.3086229479766642,1186,0.1097,0.0438,0.0659,False
Qwen/Qwen1.5-1.8B-Chat,-0.314892562272597,1186,0.2043,0.1728,0.0314,False
Qwen/Qwen2-0.5B,-1.9018610299727496,1186,0.0729,0.07,0.003,False
Qwen/Qwen2.5-0.5B-Instruct,-0.5614028903739013,1186,0.1767,0.2142,0.0375,False
ai-forever/mGPT,-4.394862552006786,1186,0.0127,0.0008,0.0118,True
allenai/OLMo-1B-hf,-3.8429656385802247,1186,0.0176,0.0,0.0176,True
allenai/OLMo-2-0425-1B,-0.7421465613205946,1186,0.1583,0.1121,0.0461,False
allenai/OLMo-2-0425-1B-DPO,0.0892279490732855,1186,0.2558,0.2715,0.0157,False
allenai/OLMo-2-0425-1B-Instruct,0.3010345371440568,1186,0.2858,0.2723,0.0135,False
arcee-ai/raspberry-3B,1.140251541028855,1186,0.4274,0.4368,0.0093,False
google/gemma-2-2b,-1.765590012937052,1186,0.0803,0.1315,0.0512,False
google/gemma-2b,-1.5532015981857117,1186,0.093,0.1079,0.0149,False
h2oai/h2o-danube-1.8b-chat,-0.5118327452863265,1186,0.182,0.1113,0.0707,False
h2oai/h2o-danube2-1.8b-base,-1.1447168627350992,1186,0.1224,0.1121,0.0102,False
h2oai/h2o-danube2-1.8b-chat,-0.734860075025528,1186,0.159,0.1661,0.0071,False
ibm-granite/granite-3.0-2b-base,0.6978102789938303,1186,0.3474,0.3457,0.0017,False
ibm-granite/granite-3.1-2b-base,0.9333436395279536,1186,0.3883,0.3718,0.0164,False
ibm-granite/granite-3.1-2b-instruct,1.6335101172184858,1186,0.5255,0.5978,0.0723,True
ibm-granite/granite-7b-instruct,0.5516764091382116,1186,0.3238,0.2808,0.0431,False
ibm/PowerLM-3b,-0.1640014786034528,1186,0.2226,0.2664,0.0439,False
meta-llama/Llama-3.2-1B,-0.9355226304800676,1186,0.1402,0.1054,0.0348,False
meta-llama/Llama-3.2-1B-Instruct,-0.2088392841341589,1186,0.217,0.2445,0.0275,False
meta-llama/Llama-3.2-3B-Instruct,0.6582440361553427,1186,0.3409,0.4941,0.1532,False
microsoft/phi-1_5,-1.1256157757692096,1186,0.1239,0.1206,0.0033,False
nvidia/AceInstruct-1.5B,1.3918536167925732,1186,0.4777,0.5084,0.0308,False
openbmb/MiniCPM-1B-sft-bf16,-1.2101798428725303,1186,0.1172,0.032,0.0851,False
openbmb/MiniCPM-2B-sft-bf16,-0.7350332051626768,1186,0.159,0.1374,0.0215,False
openlm-research/open_llama_3b,-2.043831909369724,1186,0.0658,0.0599,0.006,False
pankajmathur/orca_mini_3b,-0.7685074351024057,1186,0.1557,0.1248,0.0309,False
pankajmathur/orca_mini_v9_5_3B-Instruct,1.063142024911242,1186,0.4125,0.4216,0.0091,False
stabilityai/stablelm-2-1_6b-chat,0.0646368197149578,1186,0.2524,0.2159,0.0366,False
stabilityai/stablelm-2-zephyr-1_6b,-0.2392592441562761,1186,0.2133,0.1838,0.0295,False
stabilityai/stablelm-zephyr-3b,-0.2104676117437125,1186,0.2168,0.2555,0.0387,False
tiiuae/Falcon3-1B-Instruct,0.7291073770952735,1186,0.3526,0.3651,0.0125,False
tiiuae/Falcon3-3B-Base,0.9450494448918776,1186,0.3904,0.4831,0.0927,False
tiiuae/Falcon3-3B-Instruct,2.596957267119856,1186,0.7065,0.6889,0.0177,False
utter-project/EuroLLM-1.7B,-1.4530124270615907,1186,0.0996,0.0548,0.0448,False
utter-project/EuroLLM-1.7B-Instruct,-0.9739551844041602,1186,0.1367,0.1197,0.017,False
