"model","fold","is_weak_excluded","length","stop_reason","theta_ref_correctness","theta_ref_scaffolding","theta_mwle_correctness","theta_mwle_scaffolding","sd_stop_correctness","sd_stop_scaffolding","se_total_correctness","se_total_scaffolding"
"BSC-LT/salamandra-2b","0","False","20","info_plateau","-2.644332799070323","1.277199675266705","-3.3507962804178018","1.3454968853382336","0.4202516255456791","0.2511011428564948","0.5040911413115561","0.32204296174237984"
"EleutherAI/pythia-160m","0","False","24","info_plateau","-5.6460662529551175","1.5663413178742933","-5.3450855789099","1.2810576593562846","0.4874941631983922","0.22979928644509182","0.582967911776981","0.25778701789428327"
"HuggingFaceTB/SmolLM2-1.7B","0","False","27","info_plateau","-0.824642155617936","-0.05606921079658871","-0.674229060691751","-0.24096480844125087","0.31757306669954444","0.26923674111700713","0.35128839507861404","0.30009607956087264"
"HuggingFaceTB/SmolLM2-1.7B-Instruct","0","False","26","precision_reached","0.04114675841967825","-0.5514923578849423","0.2934030813096468","-0.4569070589442761","0.22194388916795918","0.2560711316827446","0.2791303330142764","0.3208290905802968"
"Qwen/Qwen1.5-1.8B-Chat","0","False","22","info_plateau","-1.8802904403234932","-0.6947497761658682","-1.9398527523796525","-0.5364786866432573","0.4150307012775303","0.31715186938270457","0.4743928851076783","0.3744124362128655"
"Qwen/Qwen2-0.5B","0","False","20","info_plateau","-2.59336912851614","-0.29560104732026105","-2.1557106285753718","0.1389626573343213","0.3997978434381401","0.3127282705584758","0.4627859862394326","0.36392083795256125"
"Qwen/Qwen2.5-0.5B-Instruct","0","False","29","info_plateau","-0.8406307009619033","-0.950385201270639","-0.9699648817385176","-0.8910544406753745","0.28748213023374913","0.2693869846342048","0.3137345646785901","0.3004085799132094"
"ai-forever/mGPT","0","False","29","info_plateau","-5.235923609460849","2.267426831575567","-5.950993927732352","1.914977589009489","0.4753037160619463","0.2480219142248419","0.6039205297635483","0.3267581975664184"
"allenai/OLMo-2-1124-7B","0","False","22","precision_reached","0.7341316160119875","-0.18561129484228314","1.342338518231393","-0.6661932113552239","0.22647372816893788","0.26409983932824754","0.27090632183870444","0.29028105981713687"
"bigscience/bloom-1b7","0","False","34","info_plateau","-4.943644821731802","0.25568163894642865","-4.391629691814076","0.45908286260025416","0.46460322283937866","0.23906235912063312","0.470899125419141","0.25664476563574495"
"bigscience/bloom-560m","0","False","23","info_plateau","-5.6087271025706595","0.7375207211795759","-4.945445095030836","1.0996737681297468","0.4937890225491875","0.26255481746976433","0.5887241889659823","0.30587817253643795"
"bigscience/bloomz-1b7","0","False","24","info_plateau","-5.5752422023764945","1.800968390581057","-5.373535098178932","1.832808742537261","0.49983432913784354","0.276632229023598","0.5736755356405362","0.368871164681184"
"bigscience/bloomz-7b1","0","False","28","info_plateau","-5.275647116813995","2.665249459296568","-5.041275084516535","2.325799770144407","0.46257474621363337","0.2799364601329782","0.60114391639294","0.352465541693268"
"facebook/opt-6.7b","0","False","23","info_plateau","-2.387402402073272","1.0583253965576538","-2.372685956039754","1.254476918569754","0.32401324582295493","0.24050187361550257","0.3640622261517273","0.2895911031949377"
"google/gemma-2b","0","False","33","precision_reached","-1.6240281083068997","0.9586959386901056","-2.162847099255715","0.8303594979991086","0.26982659459984104","0.229372126604342","0.40262253835075645","0.3002879649414381"
"h2oai/h2o-danube2-1.8b-chat","0","False","35","info_plateau","-1.5065046313364847","-0.08255106214363564","-1.6482196078153244","0.08305209574455345","0.2795590466654322","0.24704930828816876","0.3716464661815595","0.286773502122896"
"ibm-granite/granite-7b-instruct","0","False","20","precision_reached","-0.9122950649714788","0.8784136833873061","-0.8118547760080842","0.9934971714836104","0.22126881922506622","0.2603536975914711","0.33592587830042786","0.33409048576284217"
"meta-llama/Llama-3.2-1B","0","False","24","info_plateau","-2.854740818067125","0.44213996102342723","-3.0271818739272174","1.0712734550332927","0.346212128725332","0.2796069708790582","0.41148027746262583","0.32204352708099176"
"microsoft/phi-2","0","False","20","precision_reached","-0.11960803666094878","0.6203233167276155","0.5350090367299647","0.3631552251680079","0.2372806446408694","0.24115888235762337","0.27911897465406454","0.26027684353326225"
"nvidia/Nemotron-Mini-4B-Instruct","0","False","20","info_plateau","-0.29035605286589544","-0.17106305710096992","-0.11896712669346696","-0.6500159438059612","0.26405333681306437","0.3290814311619774","0.6091888114843297","0.6840146781686394"
"openai-community/gpt2-xl","0","False","24","info_plateau","-3.516644816969308","1.246617426772143","-3.5045065971452978","1.1003396747573861","0.4057220716293692","0.23796061114925163","0.4594098055094474","0.25834129225991703"
"openbmb/MiniCPM-1B-sft-bf16","0","False","30","info_plateau","-4.1185166343615665","1.647730845938649","-4.010021311496299","1.580719177830447","0.40993712899839363","0.2467786947901026","0.4694947017587427","0.2620620442218786"
"utter-project/EuroLLM-1.7B-Instruct","0","False","25","info_plateau","-2.436610050674032","0.13385565211727324","-1.8968695385909817","0.28737987544760346","0.3428517188673719","0.2659181374586973","0.40906833081968685","0.3172274731116773"
"01-ai/Yi-6B-200K","1","False","33","info_plateau","-1.5221550034858653","1.014223490354246","-2.329979317897521","0.9104562764878027","0.28912285224869666","0.23978447003494424","0.3382544393528614","0.26674717103680956"
"01-ai/Yi-6B-Chat","1","False","31","info_plateau","-0.11073000226149136","-0.7628367291043017","-0.9444674804809762","-0.41712456896991323","0.2907396273754488","0.2588031611604816","0.31867463978684296","0.29280385912669227"
