model,theta,se_ability,se_total,rank
ibm-granite/granite-3.1-2b-instruct,2.578548035711792,0.2915848833225536,0.3288439647122175,1
01-ai/Yi-1.5-6B-Chat,2.510707396969123,0.1592651781815326,0.1854250242945823,2
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4611901345492755,0.2351135518596725,0.2724547877801371,3
tiiuae/Falcon3-3B-Instruct,2.2646171050777304,0.1973524178230198,0.2217610404548313,4
meta-llama/Llama-3.2-3B-Instruct,2.199132510939517,0.1986198384215734,0.2249693688394671,5
pankajmathur/orca_mini_v9_5_3B-Instruct,1.780636263599112,0.1908366691153069,0.2147882816550846,6
nvidia/AceInstruct-1.5B,1.6989453717875027,0.1411448886438322,0.1660360321406645,7
stabilityai/stablelm-zephyr-3b,1.3490282459503735,0.1407718285700403,0.1572233893962583,8
stabilityai/stablelm-2-1_6b-chat,1.2816971847320304,0.139213254185652,0.1577975450075944,9
01-ai/Yi-6B-Chat,1.220580691289304,0.1374835421458305,0.1491311726221386,10
ibm-granite/granite-7b-instruct,1.184250801859326,0.1318604476926259,0.1492896394310026,11
stabilityai/stablelm-2-zephyr-1_6b,1.168204650882746,0.123545494346656,0.1422442023777177,12
ibm-granite/granite-3.1-2b-base,1.1089463200113567,0.1224347534392225,0.1384093343289624,13
tiiuae/Falcon3-1B-Instruct,1.091199385252902,0.1552111429857138,0.1712775948704978,14
arcee-ai/raspberry-3B,0.9927630098002176,0.1195778714182137,0.1348115600072608,15
meta-llama/Llama-3.2-1B-Instruct,0.8929639670166971,0.1390707440080038,0.1539701581346174,16
allenai/OLMo-2-0425-1B-DPO,0.8919989830216692,0.1303636136473178,0.1417518889334018,17
allenai/OLMo-2-0425-1B-Instruct,0.8818909341210452,0.1277150626647709,0.1530454866322036,18
BSC-LT/salamandra-7b-instruct,0.778783293442587,0.1351224500707794,0.1567414205074495,19
ibm-granite/granite-3.0-2b-base,0.6119202442707607,0.1327210281291105,0.1431198271586261,20
h2oai/h2o-danube-1.8b-chat,0.3673818861235645,0.1207932740020984,0.1387262970711781,21
tiiuae/Falcon3-3B-Base,0.3423826870841021,0.1205351632219779,0.1282615287592487,22
ibm/PowerLM-3b,0.2390011937580158,0.1171982074296393,0.133174747201774,23
utter-project/EuroLLM-1.7B-Instruct,0.1115858065037947,0.1223042663493708,0.1452863671606899,24
Qwen/Qwen1.5-1.8B-Chat,0.1010554582351629,0.1172956194198009,0.1384509257656189,25
Qwen/Qwen2.5-0.5B-Instruct,0.0540013706466759,0.1171526935706274,0.1347245587210918,26
01-ai/Yi-1.5-6B,0.0116919221603261,0.1040896318462954,0.1194495396990476,27
BSC-LT/salamandra-2b-instruct,-0.0005259488441135,0.1012561711635643,0.1210138150369588,28
h2oai/h2o-danube2-1.8b-chat,-0.0260782496255924,0.1050430384460422,0.1246892895850578,29
pankajmathur/orca_mini_3b,-0.0698932140506375,0.120445951049136,0.1375680070289424,30
OpenBMB/MiniCPM4-0.5B,-0.1941221162747449,0.0939467252312625,0.1187979574094553,31
openbmb/MiniCPM-2B-sft-bf16,-0.3223538009596942,0.1170191485823189,0.1352768890264492,32
BSC-LT/salamandra-7b,-0.4280899950865805,0.1172285920999102,0.1460056264589826,33
Qwen/Qwen2-0.5B,-0.6307412510589767,0.1396396233132948,0.1523089620177475,34
microsoft/phi-1_5,-0.9940889443596796,0.1231524113552841,0.1496072198849479,35
01-ai/Yi-6B,-1.088517392964569,0.1301290196476419,0.1568687905197636,36
allenai/OLMo-2-0425-1B,-1.1075432970653072,0.1174745128460355,0.1385614181772785,37
h2oai/h2o-danube2-1.8b-base,-1.1144039785539162,0.1153568890196336,0.1334127798078523,38
BSC-LT/salamandra-2b,-1.1533652880505252,0.1122827659308618,0.1308474376706666,39
utter-project/EuroLLM-1.7B,-1.202746979597022,0.1076955434217658,0.1338821477958232,40
google/gemma-2b,-1.3648285351965637,0.1274732478845757,0.153121736675264,41
google/gemma-2-2b,-1.3897535868274369,0.1337038726936214,0.1497240315116585,42
Qwen/Qwen1.5-1.8B,-1.4860800368958411,0.1716205756786121,0.2153939073585593,43
openbmb/MiniCPM-1B-sft-bf16,-1.9638517324231528,0.3936635883177013,0.4329582777985951,44
01-ai/Yi-6B-200K,-2.1247287164941886,0.3772028645918611,0.421160089890306,45
meta-llama/Llama-3.2-1B,-2.3081326846798564,0.4708423354959721,0.5251190677388277,46
openlm-research/open_llama_3b,-2.601438367993062,0.184385238207027,0.2064169165071059,47
BEE-spoke-data/smol_llama-220M-openhermes,-2.6738151090173425,0.1457175310529787,0.161466634411447,48
HuggingFaceTB/SmolLM2-360M,-2.81051622329945,0.376516803478611,0.4311190730747328,49
ai-forever/mGPT,-3.2018714795526284,0.3813204708365512,0.4321388611652058,50
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-3.7727642817211535,0.3424724232390436,0.3952985361588912,51
allenai/OLMo-1B-hf,-3.870793378982471,0.4061937559322247,0.4481430323004733,52
