model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,20,66,precision_reached,True,66,0,0.08922670191672175,-1.0702928872365787,-0.901327,-0.9622065169113582,-1.0246635391761547,0.283271,53,-0.18564270094420213,-0.355068,-0.37453218834064933,-0.37359374071227447,0.277491,15
01-ai/Yi-6B-Chat,20,67,precision_reached,True,67,0,0.12675116744496331,-0.2639087289854704,-0.406787,-0.42889333601005253,-0.44780785705782983,0.298396,52,-0.8616550076564686,-1.107858,-1.151173312035713,-1.2738263311716043,0.296274,15
EleutherAI/pythia-1.4b,18,74,precision_reached,True,74,0,0.07734986945169713,-2.3867766176878993,-2.104082,-2.520568407105082,-2.8854529730363216,0.288823,64,0.855921674478767,0.815759,0.7444703760190525,0.8510327464453341,0.295268,17
EleutherAI/pythia-160m,14,64,precision_reached,True,64,0,0.05060398302317989,-5.682141830899468,-1.800577,-2.58092497638937,-3.6075451514633254,0.296105,54,1.3570647117276842,1.047885,1.019810497026578,1.2335695518397038,0.287547,16
EleutherAI/pythia-1b,18,72,precision_reached,True,72,0,0.07166230366492146,-2.574045969213615,-2.251041,-2.661536994506667,-3.0725654673784075,0.297961,65,0.8988203928297002,1.033165,1.1122288053756173,1.404624828690818,0.293419,15
EleutherAI/pythia-2.8b,17,68,precision_reached,True,68,0,0.06605624591236102,-2.594480238533975,-1.786063,-2.1192490543687166,-2.3393021745766203,0.276444,59,0.6931726043359538,0.906021,0.884538561493015,1.0075189659844632,0.276921,16
EleutherAI/pythia-410m,18,73,precision_reached,True,73,0,0.06266318537859007,-3.605108675738733,-2.147197,-3.0201007599764846,-3.8555221248039615,0.287976,62,1.1488661819989976,1.44335,1.6372880976674722,2.1169255868967216,0.276769,16
EleutherAI/pythia-6.9b,24,78,precision_reached,True,78,0,0.06548788474132286,-2.372686716079525,-1.79488,-2.0869554611114434,-2.3187451695301076,0.28899,63,0.2894228258614737,0.069755,0.05935252644131017,0.05472957127182182,0.276006,19
EleutherAI/pythia-70m,19,67,precision_reached,True,67,0,0.03814802738832736,-5.869545651252185,-2.017695,-2.890728434400246,-3.9859061592984735,0.278956,58,0.6397348439487625,0.370256,0.13592338527792,0.13975690504753682,0.286903,15
HuggingFaceH4/zephyr-7b-beta,10,46,precision_reached,True,46,0,0.2627399073461284,1.0666666844605788,1.025923,0.966687760502844,1.062643083395785,0.212476,35,0.43403336062467585,-0.289857,-0.39185114939891097,-0.4182784057929876,0.228443,17
HuggingFaceTB/SmolLM2-1.7B,14,46,precision_reached,True,46,0,0.10491586935004948,-0.7497682963038141,-0.067584,-0.1659220303296999,-0.09446439685057575,0.29026,36,-0.2948812279900751,-0.836669,-0.8967320286957374,-1.0182193739667353,0.290558,16
HuggingFaceTB/SmolLM2-1.7B-Instruct,14,57,precision_reached,True,57,0,0.15661446184605132,0.26319032664453723,0.133905,0.12389893563400664,0.21550252987055432,0.290102,44,-0.8193259809800563,-1.0868,-1.1416015868623184,-1.2641760009341594,0.291033,18
HuggingFaceTB/SmolLM2-135M,18,62,precision_reached,True,62,0,0.046668921203922895,-3.8390947947034664,-1.648167,-2.582280558361947,-3.3456155594357284,0.285058,51,0.17527820177343922,0.10424,-0.1085899335033312,-0.09061194761748646,0.275463,15
HuggingFaceTB/SmolLM2-360M,18,64,precision_reached,True,64,0,0.04822834645669291,-3.295253705140256,-2.106892,-2.650325514476263,-3.14586012791005,0.298304,54,0.2983859822191318,0.666102,0.5326240948707212,0.6040319931483091,0.284551,16
HuggingFaceTB/SmolLM2-360M-Instruct,22,73,precision_reached,True,73,0,0.06649111257406189,-1.4033430361267907,-1.475955,-1.59462184544157,-1.7499981753543437,0.297234,57,-0.9027137532065792,-0.701079,-0.7196421700414511,-0.7520702674763751,0.295618,18
LLM360/Amber,20,71,precision_reached,True,71,0,0.03994760969220694,-4.735600906383274,-2.015203,-2.8278756184296836,-3.6037496599792007,0.284065,61,0.43705963886100274,0.261673,0.024700307036038087,0.036581453212194054,0.284923,16
Qwen/Qwen2-0.5B,17,68,precision_reached,True,68,0,0.04445176160684886,-2.5339748095932544,-1.625967,-1.960920059595641,-2.192450836767283,0.29379,59,-0.48332497158144827,0.130329,-0.1678236107914072,-0.06469056530094706,0.280478,15
Qwen/Qwen2-1.5B,22,73,precision_reached,True,73,0,0.09983525535420099,-0.621398224874862,-0.688055,-0.7420859490452624,-0.752076188070146,0.285691,59,-1.2359841814065002,-1.52398,-1.6461913453921901,-1.686323475770366,0.292263,16
Qwen/Qwen2-7B,10,35,precision_reached,True,35,0,0.30126078301260784,1.333335747984948,1.149514,1.116500871728316,1.185745221046441,0.228178,23,0.06643055254111871,-0.073069,-0.09439946868696847,-0.03904886119624403,0.236341,16
Qwen/Qwen2.5-0.5B,20,68,precision_reached,True,68,0,0.06530343007915568,-1.435579009516486,-1.219244,-1.4884444924731361,-1.6219308226783262,0.296357,53,-1.0213041286972844,-0.67685,-0.6912774124613487,-0.7499256596025959,0.297306,16
