model,candidate_id,minimum_scenarios,conditional_se_target,selector,status,error,cat_replay_success,cat_stop_reason,cat_precision_reached,cat_scenarios_administered,cat_criteria_administered,cat_mwle_converged,cat_scenario_order,baseline_replay_success,baseline_stop_reason,baseline_precision_reached,baseline_scenarios_administered,baseline_criteria_administered,baseline_mwle_converged,baseline_scenario_order,theta_reference,theta_reference_scope,theta_cat_mwle,cat_eval_n_cells,cat_eval_log_loss_sum,cat_eval_brier_sum,cat_eval_correct_count,cat_eval_observed_pass_rate,cat_eval_predicted_pass_rate,theta_baseline_mwle,baseline_eval_n_cells,baseline_eval_log_loss_sum,baseline_eval_brier_sum,baseline_eval_correct_count,baseline_eval_observed_pass_rate,baseline_eval_predicted_pass_rate,outer_fold,inner_fold,fit_cache_key,selected_ridge
01-ai/Yi-1.5-6B,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,50.0,True,"[""ifb_0052"", ""ifb_0035"", ""ifb_0132"", ""ifb_0410"", ""ifb_0195"", ""ifb_0409"", ""ifb_0360"", ""ifb_0313"", ""ifb_0007"", ""ifb_0198"", ""ifb_0162"", ""ifb_0233""]",True,precision_reached,True,29.0,107.0,True,"[""ifb_0089"", ""ifb_0114"", ""ifb_0091"", ""ifb_0165"", ""ifb_0070"", ""ifb_0356"", ""ifb_0434"", ""ifb_0403"", ""ifb_0227"", ""ifb_0103"", ""ifb_0066"", ""ifb_0424"", ""ifb_0365"", ""ifb_0180"", ""ifb_0158"", ""ifb_0234"", ""ifb_0397"", ""ifb_0182"", ""ifb_0335"", ""ifb_0215"", ""ifb_0304"", ""ifb_0486"", ""ifb_0101"", ""ifb_0266"", ""ifb_0361"", ""ifb_0255"", ""ifb_0359"", ""ifb_0078"", ""ifb_0080""]",-1.0667816319101777,all_observed_administration_pool_items,-1.2171742461916013,409.0,373.1324935368116,110.7779113381644,260.0,0.39853300733496333,0.2180458178585599,-1.3651304397818629,409.0,388.64316948733006,113.38799529891544,260.0,0.39853300733496333,0.19753779166318958,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
01-ai/Yi-1.5-6B-Chat,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,60.0,True,"[""ifb_0035"", ""ifb_0209"", ""ifb_0320"", ""ifb_0346"", ""ifb_0380"", ""ifb_0282"", ""ifb_0017"", ""ifb_0374"", ""ifb_0372"", ""ifb_0065"", ""ifb_0394"", ""ifb_0194""]",True,precision_reached,True,30.0,98.0,True,"[""ifb_0103"", ""ifb_0243"", ""ifb_0124"", ""ifb_0006"", ""ifb_0144"", ""ifb_0023"", ""ifb_0220"", ""ifb_0079"", ""ifb_0022"", ""ifb_0117"", ""ifb_0080"", ""ifb_0238"", ""ifb_0453"", ""ifb_0364"", ""ifb_0046"", ""ifb_0266"", ""ifb_0126"", ""ifb_0340"", ""ifb_0259"", ""ifb_0150"", ""ifb_0272"", ""ifb_0436"", ""ifb_0333"", ""ifb_0216"", ""ifb_0090"", ""ifb_0060"", ""ifb_0037"", ""ifb_0487"", ""ifb_0380"", ""ifb_0324""]",1.923323298475522,all_observed_administration_pool_items,1.927550344030472,409.0,157.30765234546578,50.31598138744858,339.0,0.80440097799511,0.7535009915180755,0.7749105755901997,409.0,218.88286490975,68.70491139839314,317.0,0.80440097799511,0.5973383637570828,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
01-ai/Yi-6B,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,43.0,True,"[""ifb_0320"", ""ifb_0132"", ""ifb_0233"", ""ifb_0198"", ""ifb_0162"", ""ifb_0143"", ""ifb_0190"", ""ifb_0007"", ""ifb_0301"", ""ifb_0217"", ""ifb_0360"", ""ifb_0068""]",True,precision_reached,True,38.0,171.0,True,"[""ifb_0111"", ""ifb_0468"", ""ifb_0360"", ""ifb_0196"", ""ifb_0331"", ""ifb_0148"", ""ifb_0407"", ""ifb_0469"", ""ifb_0426"", ""ifb_0439"", ""ifb_0395"", ""ifb_0242"", ""ifb_0006"", ""ifb_0493"", ""ifb_0335"", ""ifb_0466"", ""ifb_0372"", ""ifb_0293"", ""ifb_0051"", ""ifb_0255"", ""ifb_0034"", ""ifb_0219"", ""ifb_0464"", ""ifb_0440"", ""ifb_0122"", ""ifb_0332"", ""ifb_0346"", ""ifb_0306"", ""ifb_0348"", ""ifb_0110"", ""ifb_0381"", ""ifb_0382"", ""ifb_0096"", ""ifb_0452"", ""ifb_0303"", ""ifb_0206"", ""ifb_0082"", ""ifb_0285""]",-1.5650138954751307,all_observed_administration_pool_items,-1.1409176943093735,409.0,176.44198540299124,57.512132677186706,329.0,0.1980440097799511,0.22926286751068123,-1.9341899212219757,409.0,182.74686161800594,56.474527351592435,333.0,0.1980440097799511,0.1331530811556689,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
01-ai/Yi-6B-200K,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,44.0,True,"[""ifb_0035"", ""ifb_0360"", ""ifb_0233"", ""ifb_0143"", ""ifb_0125"", ""ifb_0288"", ""ifb_0149"", ""ifb_0130"", ""ifb_0225"", ""ifb_0118"", ""ifb_0301"", ""ifb_0305""]",True,max_scenarios_reached,False,50.0,193.0,True,"[""ifb_0018"", ""ifb_0189"", ""ifb_0075"", ""ifb_0323"", ""ifb_0397"", ""ifb_0364"", ""ifb_0423"", ""ifb_0309"", ""ifb_0027"", ""ifb_0442"", ""ifb_0407"", ""ifb_0218"", ""ifb_0128"", ""ifb_0182"", ""ifb_0443"", ""ifb_0165"", ""ifb_0235"", ""ifb_0095"", ""ifb_0015"", ""ifb_0469"", ""ifb_0146"", ""ifb_0378"", ""ifb_0281"", ""ifb_0029"", ""ifb_0345"", ""ifb_0206"", ""ifb_0314"", ""ifb_0100"", ""ifb_0284"", ""ifb_0333"", ""ifb_0408"", ""ifb_0474"", ""ifb_0024"", ""ifb_0070"", ""ifb_0232"", ""ifb_0144"", ""ifb_0063"", ""ifb_0276"", ""ifb_0493"", ""ifb_0357"", ""ifb_0110"", ""ifb_0221"", ""ifb_0022"", ""ifb_0298"", ""ifb_0214"", ""ifb_0032"", ""ifb_0396"", ""ifb_0402"", ""ifb_0198"", ""ifb_0125""]",-2.6955039678579906,all_observed_administration_pool_items,-3.9073849233536584,409.0,97.89507253027627,27.20843379752245,373.0,0.08801955990220049,0.03612736264078978,-2.7601684504271633,409.0,84.32207399932915,24.2306499552963,380.0,0.08801955990220049,0.07540803059140268,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
01-ai/Yi-6B-Chat,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,61.0,True,"[""ifb_0035"", ""ifb_0380"", ""ifb_0346"", ""ifb_0194"", ""ifb_0065"", ""ifb_0408"", ""ifb_0374"", ""ifb_0209"", ""ifb_0017"", ""ifb_0372"", ""ifb_0378"", ""ifb_0284""]",True,precision_reached,True,43.0,165.0,True,"[""ifb_0496"", ""ifb_0128"", ""ifb_0417"", ""ifb_0091"", ""ifb_0111"", ""ifb_0084"", ""ifb_0058"", ""ifb_0204"", ""ifb_0028"", ""ifb_0012"", ""ifb_0305"", ""ifb_0357"", ""ifb_0461"", ""ifb_0474"", ""ifb_0114"", ""ifb_0235"", ""ifb_0189"", ""ifb_0404"", ""ifb_0229"", ""ifb_0179"", ""ifb_0429"", ""ifb_0158"", ""ifb_0307"", ""ifb_0286"", ""ifb_0267"", ""ifb_0155"", ""ifb_0165"", ""ifb_0254"", ""ifb_0143"", ""ifb_0391"", ""ifb_0024"", ""ifb_0200"", ""ifb_0348"", ""ifb_0141"", ""ifb_0185"", ""ifb_0175"", ""ifb_0063"", ""ifb_0414"", ""ifb_0156"", ""ifb_0246"", ""ifb_0300"", ""ifb_0386"", ""ifb_0249""]",1.3653643223702625,all_observed_administration_pool_items,0.8854425510350414,409.0,204.05842910396598,67.40253969163754,304.0,0.6992665036674817,0.6161658798088427,1.5218598764246505,409.0,202.03945579359572,65.74585824404046,316.0,0.6992665036674817,0.7073756130183622,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
BSC-LT/salamandra-2b,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,50.0,True,"[""ifb_0035"", ""ifb_0217"", ""ifb_0313"", ""ifb_0143"", ""ifb_0360"", ""ifb_0007"", ""ifb_0301"", ""ifb_0198"", ""ifb_0233"", ""ifb_0098"", ""ifb_0132"", ""ifb_0062""]",True,precision_reached,True,42.0,165.0,True,"[""ifb_0424"", ""ifb_0390"", ""ifb_0024"", ""ifb_0061"", ""ifb_0015"", ""ifb_0335"", ""ifb_0221"", ""ifb_0366"", ""ifb_0346"", ""ifb_0191"", ""ifb_0028"", ""ifb_0483"", ""ifb_0059"", ""ifb_0359"", ""ifb_0206"", ""ifb_0110"", ""ifb_0105"", ""ifb_0436"", ""ifb_0099"", ""ifb_0418"", ""ifb_0357"", ""ifb_0407"", ""ifb_0217"", ""ifb_0128"", ""ifb_0261"", ""ifb_0158"", ""ifb_0029"", ""ifb_0466"", ""ifb_0012"", ""ifb_0276"", ""ifb_0476"", ""ifb_0199"", ""ifb_0371"", ""ifb_0218"", ""ifb_0478"", ""ifb_0077"", ""ifb_0421"", ""ifb_0155"", ""ifb_0235"", ""ifb_0278"", ""ifb_0372"", ""ifb_0062""]",-2.0982204384100047,all_observed_administration_pool_items,-1.385757760944357,409.0,144.04924922807982,41.706165442962224,357.0,0.09290953545232274,0.19480839509446687,-2.109330875158942,409.0,133.89129144692308,34.02442544566365,368.0,0.09290953545232274,0.11770066279539608,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
BSC-LT/salamandra-2b-instruct,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,62.0,True,"[""ifb_0052"", ""ifb_0209"", ""ifb_0217"", ""ifb_0410"", ""ifb_0346"", ""ifb_0378"", ""ifb_0408"", ""ifb_0384"", ""ifb_0320"", ""ifb_0374"", ""ifb_0035"", ""ifb_0380""]",True,precision_reached,True,19.0,94.0,True,"[""ifb_0001"", ""ifb_0471"", ""ifb_0321"", ""ifb_0266"", ""ifb_0130"", ""ifb_0150"", ""ifb_0479"", ""ifb_0314"", ""ifb_0449"", ""ifb_0459"", ""ifb_0487"", ""ifb_0416"", ""ifb_0272"", ""ifb_0069"", ""ifb_0197"", ""ifb_0010"", ""ifb_0359"", ""ifb_0378"", ""ifb_0355""]",0.20267515752323628,all_observed_administration_pool_items,0.5818032703163047,409.0,216.68524314543853,73.43126131494931,291.0,0.4621026894865526,0.5622654664524838,0.4643662269457088,409.0,210.7151975503997,70.96882526763464,299.0,0.4621026894865526,0.5397118235160218,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
BSC-LT/salamandra-7b,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,48.0,True,"[""ifb_0035"", ""ifb_0233"", ""ifb_0007"", ""ifb_0360"", ""ifb_0198"", ""ifb_0132"", ""ifb_0301"", ""ifb_0367"", ""ifb_0433"", ""ifb_0195"", ""ifb_0052"", ""ifb_0387""]",True,precision_reached,True,23.0,94.0,True,"[""ifb_0239"", ""ifb_0435"", ""ifb_0144"", ""ifb_0359"", ""ifb_0148"", ""ifb_0198"", ""ifb_0249"", ""ifb_0310"", ""ifb_0183"", ""ifb_0479"", ""ifb_0135"", ""ifb_0117"", ""ifb_0022"", ""ifb_0281"", ""ifb_0396"", ""ifb_0031"", ""ifb_0020"", ""ifb_0100"", ""ifb_0475"", ""ifb_0392"", ""ifb_0279"", ""ifb_0303"", ""ifb_0023""]",-0.966681703375561,all_observed_administration_pool_items,-0.8186603011901631,409.0,206.11719783555486,64.32425347705784,318.0,0.2469437652811736,0.28148046036434,-0.17094512269814774,409.0,231.93483084920717,75.54744476755724,295.0,0.2469437652811736,0.4069486546990971,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
BSC-LT/salamandra-7b-instruct,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,68.0,True,"[""ifb_0320"", ""ifb_0380"", ""ifb_0374"", ""ifb_0194"", ""ifb_0282"", ""ifb_0408"", ""ifb_0384"", ""ifb_0378"", ""ifb_0465"", ""ifb_0346"", ""ifb_0284"", ""ifb_0209""]",True,precision_reached,True,26.0,118.0,True,"[""ifb_0113"", ""ifb_0137"", ""ifb_0421"", ""ifb_0403"", ""ifb_0066"", ""ifb_0333"", ""ifb_0274"", ""ifb_0404"", ""ifb_0412"", ""ifb_0199"", ""ifb_0408"", ""ifb_0454"", ""ifb_0007"", ""ifb_0469"", ""ifb_0201"", ""ifb_0309"", ""ifb_0039"", ""ifb_0198"", ""ifb_0157"", ""ifb_0443"", ""ifb_0373"", ""ifb_0292"", ""ifb_0179"", ""ifb_0475"", ""ifb_0026"", ""ifb_0402""]",0.6106683159991608,all_observed_administration_pool_items,0.9572876066089565,409.0,237.84750969214676,77.45926189733507,297.0,0.6185819070904646,0.6278948645644457,1.2306093499291648,409.0,245.7120056431853,78.12912842622464,299.0,0.6185819070904646,0.6689903036428623,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
arcee-ai/raspberry-3B,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,68.0,True,"[""ifb_0052"", ""ifb_0384"", ""ifb_0065"", ""ifb_0282"", ""ifb_0346"", ""ifb_0374"", ""ifb_0265"", ""ifb_0194"", ""ifb_0051"", ""ifb_0446"", ""ifb_0394"", ""ifb_0372""]",True,precision_reached,True,25.0,124.0,True,"[""ifb_0415"", ""ifb_0019"", ""ifb_0372"", ""ifb_0162"", ""ifb_0433"", ""ifb_0137"", ""ifb_0150"", ""ifb_0461"", ""ifb_0058"", ""ifb_0419"", ""ifb_0353"", ""ifb_0084"", ""ifb_0344"", ""ifb_0233"", ""ifb_0265"", ""ifb_0101"", ""ifb_0116"", ""ifb_0151"", ""ifb_0220"", ""ifb_0131"", ""ifb_0042"", ""ifb_0480"", ""ifb_0300"", ""ifb_0221"", ""ifb_0289""]",1.7665037359752787,all_observed_administration_pool_items,1.896782374744499,409.0,162.74045427386346,51.74522235686807,337.0,0.78239608801956,0.7502576577382938,1.85640903057958,409.0,163.22852186543452,51.941320059680635,334.0,0.78239608801956,0.7459431396715616,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
