model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_full_presentation,theta_cat_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation
01-ai/Yi-6B,50,289,max_scenarios_reached,False,289,0,0.09521542489883361,-0.9937684244211631,-0.922294,-0.9646840365879327,-0.9967768159897193,0.275948,205,0.04322049561788705,-0.411009,-0.4084724064868833,-0.43902476260710876,0.298373,82,-0.6120138142052015,-0.476953,-0.5257246237787684,-0.5336270115081646,0.29795,37
01-ai/Yi-6B-Chat,48,314,precision_reached,True,314,0,0.1491460187635314,-0.012459871221071945,-0.275596,-0.35399010226090466,-0.32792725758017854,0.240152,225,-0.9037488274891349,-0.29256,-0.48246830228226767,-0.4863664162692616,0.249416,90,0.5310458970292069,1.091452,1.0121969830436974,1.0844336624666564,0.249658,37
EleutherAI/pythia-1.4b,50,304,max_scenarios_reached,False,304,0,0.0706267539756782,-2.2482485935498104,-1.71574,-2.0428000707615706,-2.2253283609291046,0.254694,224,1.1691117060341354,1.179121,1.2370657476164564,1.3731621359391017,0.303432,67,-1.6992301869533666,-1.12445,-1.1849471364441746,-1.2800040774681392,0.302132,44
EleutherAI/pythia-160m,50,310,max_scenarios_reached,False,310,0,0.036406067677946324,-5.748196770467383,-2.499233,-3.3966327825268614,-5.735630008580648,0.301283,229,1.7668268222215502,1.641787,1.7134845374419754,1.9333454536148675,0.324827,61,-4.820826334987955,-2.915264,-3.462911519106498,-6.311847691939563,0.372152,48
EleutherAI/pythia-1b,50,317,max_scenarios_reached,False,317,0,0.06456140350877193,-2.486001697273736,-2.055971,-2.3383889654533054,-2.62421117676691,0.289902,238,1.0850678552158144,1.032059,1.042721684340416,1.1819224002483502,0.324814,63,-1.9541734389005256,-1.863367,-1.9596073635099476,-2.196673567753585,0.335145,46
EleutherAI/pythia-2.8b,50,313,max_scenarios_reached,False,313,0,0.05753040224508887,-2.4973145029427113,-2.102973,-2.6020891277775373,-3.0374802214616423,0.277701,236,0.9265374779940266,0.709506,0.6890835226031893,0.8107925147144608,0.325518,56,-2.3789244228016297,-2.349139,-2.5739405245009257,-3.065959390830158,0.347434,47
EleutherAI/pythia-410m,50,313,max_scenarios_reached,False,313,0,0.05015162118031257,-3.610003862123413,-2.474985,-3.0851524488545894,-4.066105533500474,0.301746,237,1.4036257759865973,0.950511,0.9365096174934276,1.0669423364273924,0.325285,58,-3.477693230184832,-2.377412,-2.6383609538718784,-3.1949080874699085,0.351889,45
EleutherAI/pythia-6.9b,50,287,max_scenarios_reached,False,287,0,0.06705744431418523,-2.2259175995061127,-1.599517,-1.7408484599474991,-1.8820790878141858,0.29143,205,0.6827781521806802,0.38017,0.3677522486743981,0.4134973019901781,0.300712,66,-1.3279330604900275,-1.174415,-1.227823923084745,-1.3343194885221106,0.310881,42
EleutherAI/pythia-70m,50,308,max_scenarios_reached,False,308,0,0.02770018621973929,-5.989649038583136,-2.464951,-3.339422568687964,-5.744704407095163,0.307812,234,0.9546239695186854,1.18618,1.4163766181115038,1.6357549065464632,0.334558,52,-4.824806853104915,-2.852699,-3.446118776102876,-6.157738009006232,0.363354,46
HuggingFaceH4/zephyr-7b-beta,43,278,precision_reached,True,278,0,0.2552021047596269,1.0933994252718031,1.318909,1.2510504704828298,1.2904220360569505,0.166031,211,0.5243695193463498,0.391432,0.3598955677461595,0.4642545461737896,0.244763,71,0.5217346970594791,0.532467,0.5045021320706838,0.5695739657625385,0.247473,36
HuggingFaceTB/SmolLM2-1.7B,50,283,max_scenarios_reached,False,283,0,0.12618821292775664,-0.5233880818694452,-0.569779,-0.6257821008126715,-0.6270598464602796,0.269932,203,-0.19963336247271238,-0.300195,-0.3028905015606472,-0.3218074087517912,0.284839,84,0.2650807752179734,0.245136,0.20766374432394838,0.2690251340195554,0.28785,32
HuggingFaceTB/SmolLM2-1.7B-Instruct,50,284,max_scenarios_reached,False,284,0,0.1899831447146641,0.4799575425556966,0.678602,0.638852627228666,0.7016072914688758,0.215846,196,-0.8805411222153174,-0.602732,-0.6146632045849734,-0.6541770713940565,0.255396,96,1.0548679050245144,0.937202,0.8879496769404779,0.98130304121631,0.25565,31
HuggingFaceTB/SmolLM2-135M,50,294,max_scenarios_reached,False,294,0,0.04591836734693878,-3.8009684636531165,-2.241822,-2.5945475310509263,-3.102478982895237,0.323366,216,0.49409858642794924,0.401215,0.4271912761743222,0.47668698090688005,0.312363,62,-1.7895194800466347,-1.584826,-1.6179405924100676,-1.7854770711838186,0.341068,43
HuggingFaceTB/SmolLM2-360M,50,295,max_scenarios_reached,False,295,0,0.04778719397363465,-3.1322734031932766,-1.673035,-1.925858634870694,-2.1041941959551993,0.27804,217,0.6812509052543899,0.483606,0.4807421441704889,0.5513202007631365,0.303759,73,-1.9445712841140306,-0.999229,-1.0557854056327913,-1.1387086373787156,0.304844,41
HuggingFaceTB/SmolLM2-360M-Instruct,50,293,max_scenarios_reached,False,293,0,0.08376839107736117,-1.3297059190149718,-1.151455,-1.317612347562329,-1.4011850564458828,0.289245,207,-0.8201163057191524,-0.58927,-0.6183322815258303,-0.6509491158502373,0.292022,81,-0.32830593245800027,0.016098,-0.009354384914277697,0.03405716349398115,0.289859,36
LLM360/Amber,50,301,max_scenarios_reached,False,301,0,0.03163074039362699,-4.693542183514906,-2.331697,-3.311170440502094,-6.96575347549008,0.301227,226,0.8114303682735481,0.532831,0.7016066273476015,0.7720298436808973,0.338239,58,-4.458319621817574,-2.531206,-3.2912541208907586,-5.765059659788406,0.347937,42
Qwen/Qwen2-0.5B,50,276,max_scenarios_reached,False,276,0,0.047788029335225926,-2.440005530068993,-1.592903,-1.8100767546087424,-1.9869799442511316,0.302165,197,-0.4758409788667395,-0.068282,-0.09203771765162994,-0.06949921890657285,0.304257,65,-1.4006263090412407,-1.19704,-1.34867016304781,-1.4808358351358748,0.305589,39
Qwen/Qwen2-1.5B,50,285,max_scenarios_reached,False,285,0,0.125,-0.4380831095890809,-0.089008,-0.1540647886149292,-0.12114688905762531,0.238127,197,-1.2055755450401298,-1.363444,-1.3054200408669132,-1.4154396936071814,0.284485,91,0.2537196198521281,-0.156335,-0.2156494309301448,-0.19049464238892816,0.287198,35
Qwen/Qwen2-7B,43,256,precision_reached,True,256,0,0.307084729535663,1.599999743767224,1.475993,1.457658324868801,1.5025382797580469,0.153676,182,0.052292635089008235,0.026863,-0.036209609557518646,0.01324374919944396,0.245328,82,1.193062463161668,1.008034,0.9558023790911266,1.0505336093221795,0.246822,32
Qwen/Qwen2.5-0.5B,49,286,precision_reached,True,286,0,0.11071513423616061,-1.1563748111560845,-0.555967,-0.6250236635825304,-0.6189658809359432,0.241532,200,-1.0358235666273563,-0.815239,-0.8445770755087446,-0.9292934290752253,0.249067,95,0.8015211156225083,1.327589,1.2717418257319975,1.3704672840198284,0.245466,29
