model,theta_cat,n_obs_criteria,pred_pass_rate,actual_pass_rate,abs_err,weak
01-ai/Yi-1.5-6B,-0.0889820823917447,2015,0.3886,0.4129,0.0243,False
01-ai/Yi-1.5-6B-Chat,1.337900457872507,2015,0.6405,0.7151,0.0746,False
01-ai/Yi-6B,-1.233548688825811,2015,0.2072,0.2749,0.0677,False
01-ai/Yi-6B-200K,-1.4805453734168166,2015,0.1763,0.1132,0.0631,False
01-ai/Yi-6B-Chat,1.281973091442956,2015,0.6305,0.5772,0.0533,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-4.6309638085232665,2015,0.0267,0.0169,0.0098,True
BEE-spoke-data/smol_llama-220M-openhermes,-2.462258843683729,2015,0.0894,0.0561,0.0333,False
BSC-LT/salamandra-2b,-1.3413104417742183,2015,0.1932,0.1598,0.0334,False
BSC-LT/salamandra-2b-instruct,-0.3105672094357788,2015,0.3507,0.3454,0.0053,False
BSC-LT/salamandra-7b,-0.2455322183032807,2015,0.3618,0.2933,0.0685,False
BSC-LT/salamandra-7b-instruct,0.2287902440256223,2015,0.4436,0.5231,0.0795,False
HuggingFaceTB/SmolLM2-360M,-1.890718713090896,2015,0.1338,0.1022,0.0316,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.9876735670105592,2015,0.7431,0.8159,0.0727,False
OpenBMB/MiniCPM4-0.5B,0.0528324478959275,2015,0.4131,0.405,0.0081,False
Qwen/Qwen1.5-1.8B,0.0953166439006745,2015,0.4205,0.4119,0.0086,False
Qwen/Qwen1.5-1.8B-Chat,0.6842394252134145,2015,0.5229,0.4898,0.0331,False
Qwen/Qwen2-0.5B,-0.2890032271228948,2015,0.3544,0.2824,0.072,False
Qwen/Qwen2.5-0.5B-Instruct,0.7419368216344271,2015,0.5331,0.4536,0.0795,False
ai-forever/mGPT,-3.1863914357798424,2015,0.0545,0.0233,0.0312,True
allenai/OLMo-1B-hf,-2.685012690117075,2015,0.0763,0.0159,0.0604,True
allenai/OLMo-2-0425-1B,-1.5422781688061649,2015,0.1692,0.1851,0.0159,False
allenai/OLMo-2-0425-1B-DPO,1.294596824255702,2015,0.6328,0.6124,0.0203,False
allenai/OLMo-2-0425-1B-Instruct,1.077095979870936,2015,0.5932,0.6233,0.0301,False
arcee-ai/raspberry-3B,1.246660332151899,2015,0.6241,0.6258,0.0017,False
google/gemma-2-2b,-1.636315640617866,2015,0.1589,0.1618,0.0029,False
google/gemma-2b,-1.467279079565503,2015,0.1778,0.1643,0.0135,False
h2oai/h2o-danube-1.8b-chat,0.3736772137244311,2015,0.4687,0.4442,0.0246,False
h2oai/h2o-danube2-1.8b-base,-0.5873986387679847,2015,0.3046,0.268,0.0366,False
h2oai/h2o-danube2-1.8b-chat,0.1221683643673395,2015,0.4251,0.4084,0.0167,False
ibm-granite/granite-3.0-2b-base,0.1514681788738847,2015,0.4302,0.5226,0.0924,False
ibm-granite/granite-3.1-2b-base,0.0637090313720809,2015,0.415,0.53,0.115,False
ibm-granite/granite-3.1-2b-instruct,1.4227000722397751,2015,0.6555,0.7801,0.1247,False
ibm-granite/granite-7b-instruct,0.8632176575688192,2015,0.5546,0.5851,0.0305,False
ibm/PowerLM-3b,0.230301913035263,2015,0.4439,0.4323,0.0116,False
meta-llama/Llama-3.2-1B,-1.4292489450242378,2015,0.1823,0.1275,0.0548,False
meta-llama/Llama-3.2-1B-Instruct,1.006817035548252,2015,0.5805,0.5816,0.0012,False
meta-llama/Llama-3.2-3B-Instruct,1.60104203614839,2015,0.6856,0.7494,0.0638,False
microsoft/phi-1_5,-0.950765034621823,2015,0.2475,0.1945,0.053,False
nvidia/AceInstruct-1.5B,1.0191042120234564,2015,0.5827,0.6665,0.0838,False
openbmb/MiniCPM-1B-sft-bf16,-1.1640135040409447,2015,0.2167,0.1037,0.1129,False
openbmb/MiniCPM-2B-sft-bf16,1.3632977592029432,2015,0.645,0.3712,0.2738,False
openlm-research/open_llama_3b,-1.9886701203143449,2015,0.1251,0.1151,0.0099,False
pankajmathur/orca_mini_3b,-0.3380342989506537,2015,0.3461,0.3578,0.0118,False
pankajmathur/orca_mini_v9_5_3B-Instruct,1.467978664640394,2015,0.6633,0.6486,0.0147,False
stabilityai/stablelm-2-1_6b-chat,1.2362408257141986,2015,0.6222,0.5752,0.047,False
stabilityai/stablelm-2-zephyr-1_6b,1.0573643804355009,2015,0.5897,0.5266,0.0631,False
stabilityai/stablelm-zephyr-3b,0.9496955342838976,2015,0.5701,0.598,0.0279,False
tiiuae/Falcon3-1B-Instruct,1.0482025592577089,2015,0.588,0.5821,0.0059,False
tiiuae/Falcon3-3B-Base,-0.0249683445737843,2015,0.3997,0.4993,0.0996,False
tiiuae/Falcon3-3B-Instruct,1.2919605828596543,2015,0.6323,0.7141,0.0819,False
utter-project/EuroLLM-1.7B,-1.19754852006156,2015,0.2121,0.1717,0.0403,False
utter-project/EuroLLM-1.7B-Instruct,0.3336161809888793,2015,0.4618,0.406,0.0558,False
