model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
01-ai/Yi-1.5-6B,0.5246734214807746,0.08846094509450741,8,3965,0.46506935687263556,0.19780533867513184,0.059604064608138996,0.059604064608138996,0.0035526445178112077
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.465811987090331,-0.15359472260639181,13,3965,0.4501891551071879,0.18285273084373932,0.015622831983143126,0.015622831983143126,0.00024407287917351978
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.5246734214807746,0.08846094509450741,8,3965,0.4171500630517024,0.19780533867513184,0.10752335842907218,0.10752335842907218,0.011561272607866727
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.13320030084260312,-1.9347727463338944,8,3965,0.16595208070617906,0.17494954448656674,-0.03275177986357594,0.03275177986357594,0.0010726790842321386
BlackBeenie/Neos-Llama-3.1-base,0.09328023171956999,-3.714049298792367,12,3965,0.21336696090794452,0.15914171265067495,-0.12008672918837453,0.12008672918837453,0.014420822527162003
BramVanroy/fietje-2-chat,0.5557213583208942,0.20665744164697109,12,3965,0.49079445145018913,0.17309062400261882,0.06492690687070507,0.06492690687070507,0.004215503235797209
BramVanroy/fietje-2-instruct,0.366898626284131,-0.5007238816953172,10,3965,0.4885245901639344,0.11781770503604054,-0.1216259638798034,0.1216259638798034,0.014792875089691241
Daemontatox/Zirel_1.5,0.5126473686072438,0.04028575838864812,10,3965,0.3755359394703657,0.10030966593100847,0.13711142913687813,0.13711142913687813,0.018799543999957154
DavieLion/Llama-3.2-1B-SPIN-iter3,0.13249200266627945,-1.9622947124765513,11,3965,0.16696090794451451,0.18646575222274647,-0.03446890527823507,0.03446890527823507,0.0011881054310799413
DeepMount00/Lexora-Lite-3B,0.6190898322974264,0.4535936657005179,8,3965,0.5298865069356873,0.0761841293912894,0.08920332536173914,0.08920332536173914,0.007957233255592293
EpistemeAI/Athena-gemma-2-2b-it,0.5474812412208473,0.17521727121276165,9,3965,0.43253467843631777,0.1623627818102823,0.11494656278452953,0.11494656278452953,0.013212712295977789
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.5246734214807746,0.08846094509450741,8,3965,0.46885245901639344,0.19780533867513184,0.05582096246438112,0.05582096246438112,0.0031159798504498456
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.33104261594960244,-0.6005367336626268,8,3965,0.3296343001261034,0.013099372754777459,0.00140831582349904,0.00140831582349904,1.9833534587177794e-06
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.5968691370845853,0.3682045584729866,8,3965,0.43934426229508194,0.10584688067471709,0.1575248747895034,0.1575248747895034,0.02481408617744872
J-LAB/Thynk_orpo,0.5429143301988,0.15860185217802422,8,3965,0.49861286254728876,0.08550617470483428,0.04430146765151122,0.04430146765151122,0.001962620036077895
JayHyeon/Qwen-0.5B-DPO-5epoch,0.3915432089691576,-0.42206829380804733,8,3965,0.3084489281210593,0.049343816867713296,0.08309428084809833,0.08309428084809833,0.006904659509662642
JayHyeon/Qwen2.5-0.5B-SFT,0.09695448201032045,-3.447219822464863,17,3965,0.2759142496847415,0.13868267512329838,-0.17895976767442104,0.17895976767442104,0.03202659844608275
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.09328023171956999,-3.714049298792367,12,3965,0.23505674653215636,0.15914171265067495,-0.14177651481258635,0.14177651481258635,0.020100580152403517
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.1756918192436622,-1.265743864279584,8,3965,0.3180327868852459,0.11775717768934872,-0.1423409676415837,0.1423409676415837,0.020260951069142375
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.17265353130057606,-1.2944736628351516,8,3965,0.32559899117276164,0.13073023117670937,-0.15294545987218558,0.15294545987218558,0.023392313695514328
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.17265353130057606,-1.2944736628351516,8,3965,0.287515762925599,0.13073023117670937,-0.11486223162502293,0.11486223162502293,0.013193332253880419
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.28524590163934427,0.13073023117670937,-0.1125923703387682,0.1125923703387682,0.01267704185850233
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.2993694829760404,0.13073023117670937,-0.12671595167546432,0.12671595167546432,0.016056932409018607
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.2832282471626734,0.13073023117670937,-0.11057471586209736,0.11057471586209736,0.012226767787983565
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.28877679697351827,0.13073023117670937,-0.1161232656729422,0.1161232656729422,0.013484612830548718
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.28600252206809584,0.13073023117670937,-0.11334899076751978,0.11334899076751978,0.012847993708015284
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.2958385876418663,0.13073023117670937,-0.12318505634129026,0.12318505634129026,0.015174558105806856
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.3023959646910467,0.13073023117670937,-0.12974243339047062,0.12974243339047062,0.016833099022080706
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.31223203026481716,0.13073023117670937,-0.1395784989642411,0.1395784989642411,0.019482157373110653
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.1756918192436622,-1.265743864279584,8,3965,0.2378310214375788,0.11775717768934872,-0.06213920219391661,0.06213920219391661,0.0038612804492964507
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.2935242526392293,-0.7071272075582526,8,3965,0.2085750315258512,0.036867001282125104,0.08494922111337813,0.08494922111337813,0.007216370167769609
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.29462451108218995,-0.7028192666447752,8,3965,0.3023959646910467,0.016878277625530003,-0.0077714536088567265,0.0077714536088567265,6.039549119461224e-05
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.17265353130057606,-1.2944736628351516,8,3965,0.2844892812105927,0.13073023117670937,-0.11183574991001663,0.11183574991001663,0.012507234957935785
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.29462451108218995,-0.7028192666447752,8,3965,0.30063051702395965,0.016878277625530003,-0.006006005941769699,0.006006005941769699,3.6072107372572926e-05
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.17265353130057606,-1.2944736628351516,8,3965,0.29281210592686,0.13073023117670937,-0.12015857462628396,0.12015857462628396,0.014438083056220252
LEESM/llama-2-7b-hf-lora-oki10p,0.09328023171956999,-3.714049298792367,12,3965,0.3475409836065574,0.15914171265067495,-0.2542607518869874,0.2542607518869874,0.06464852995013616
LilRg/10PRYMMAL-3B-slerp,0.783563679277601,1.078569750574534,8,3965,0.5909205548549811,0.0958277499131804,0.19264312442261988,0.19264312442261988,0.03711137338730901
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,0.32525490566958376,-0.6168385574482175,8,3965,0.21941992433795712,0.041726618309262026,0.10583498133162664,0.10583498133162664,0.01120104327346576
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.5246734214807746,0.08846094509450741,8,3965,0.491046658259773,0.19780533867513184,0.033626763221001554,0.033626763221001554,0.001130759204721303
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.4527449415685816,-0.20348913530500717,8,3965,0.2569987389659521,0.11482071436758574,0.19574620260262948,0.19574620260262948,0.038316575833349666
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.4527449415685816,-0.20348913530500717,8,3965,0.241109709962169,0.11482071436758574,0.2116352316064126,0.2116352316064126,0.0447894712570999
NousResearch/Hermes-3-Llama-3.2-3B,0.5124835751793753,0.04087279333903397,8,3965,0.4254728877679697,0.1675549586157438,0.08701068741140555,0.08701068741140555,0.007570859723805328
Novaciano/ASTAROTH-3.2-1B,0.4111734931065827,-0.35717112213095964,8,3965,0.28045397225725094,0.15545588822080925,0.13071952084933175,0.13071952084933175,0.01708759313107888
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,0.465811987090331,-0.15359472260639181,13,3965,0.45094577553593945,0.18285273084373932,0.01486621155439155,0.01486621155439155,0.00022100424597992484
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.6190898322974264,0.4535936657005179,8,3965,0.4317780580075662,0.0761841293912894,0.18731177428986023,0.18731177428986023,0.03508570078761555
Qwen/Qwen2.5-3B-Instruct,0.6190898322974264,0.4535936657005179,8,3965,0.4938209331651955,0.0761841293912894,0.12526889913223094,0.12526889913223094,0.01569229708980105
RezVortex/Jajuka-3b,0.465811987090331,-0.15359472260639181,13,3965,0.46153846153846156,0.18285273084373932,0.004273525551869439,0.004273525551869439,1.8263020642480995e-05
Sakalti/Sailor-japanese,0.09434766127819731,-3.6436249726653673,18,3965,0.17023959646910466,0.14100976636037582,-0.07589193519090735,0.07589193519090735,0.005759585827020882
Sakalti/Saka-1.5B,0.33075390208698974,-0.6020808978079939,8,3965,0.39092055485498106,0.024531176601060932,-0.060166652767991324,0.060166652767991324,0.003620026105304038
