model_type,n_pool,se_target,mean_items,corr,mae,n_bank_items
1PL,50,0.5,13.69,0.7291,0.079,759
1PL,50,0.45,17.77,0.8573,0.0713,759
1PL,50,0.4,23.38,0.9289,0.0589,759
1PL,50,0.35,31.31,0.957,0.0495,759
1PL,50,0.3,43.38,0.976,0.05,759
1PL,50,0.25,63.69,0.9759,0.0648,759
1PL,50,0.2,100.46,0.9772,0.0631,759
1PL,50,0.15,182.0,0.9871,0.0597,759
1PL,50,0.12,303.54,0.9851,0.0684,759
1PL,45,0.5,13.77,0.9251,0.0678,742
1PL,45,0.45,17.69,0.9246,0.0622,742
1PL,45,0.4,23.31,0.9244,0.0629,742
1PL,45,0.35,31.0,0.9154,0.0766,742
1PL,45,0.3,43.31,0.9107,0.0751,742
1PL,45,0.25,63.08,0.9565,0.0661,742
1PL,45,0.2,99.92,0.9837,0.0719,742
1PL,45,0.15,182.46,0.9854,0.0728,742
1PL,45,0.12,305.23,0.9866,0.076,742
1PL,30,0.5,13.77,0.7971,0.0887,705
1PL,30,0.45,17.54,0.8569,0.0808,705
1PL,30,0.4,23.15,0.8845,0.0869,705
1PL,30,0.35,30.92,0.9355,0.0745,705
1PL,30,0.3,43.08,0.9639,0.0687,705
1PL,30,0.25,63.31,0.9498,0.069,705
1PL,30,0.2,100.0,0.9613,0.0769,705
1PL,30,0.15,182.85,0.9791,0.0731,705
1PL,30,0.12,308.15,0.992,0.0847,705
1PL,15,0.5,14.0,0.7625,0.1253,662
1PL,15,0.45,17.92,0.8385,0.1367,662
1PL,15,0.4,23.38,0.8775,0.135,662
1PL,15,0.35,31.77,0.9624,0.1275,662
1PL,15,0.3,44.15,0.9708,0.1211,662
1PL,15,0.25,63.85,0.9806,0.1243,662
1PL,15,0.2,100.46,0.9698,0.1133,662
1PL,15,0.15,183.69,0.9667,0.1142,662
1PL,15,0.12,309.62,0.9933,0.097,662
2PL,50,0.5,8.0,0.8615,0.0825,759
2PL,50,0.45,8.0,0.8615,0.0825,759
2PL,50,0.4,8.0,0.8615,0.0825,759
2PL,50,0.35,8.0,0.8615,0.0825,759
2PL,50,0.3,8.0,0.8615,0.0825,759
2PL,50,0.25,8.92,0.8604,0.0805,759
2PL,50,0.2,14.62,0.8416,0.087,759
2PL,50,0.15,32.85,0.9196,0.0739,759
2PL,50,0.12,71.08,0.965,0.072,759
2PL,45,0.5,8.0,0.8356,0.0732,742
2PL,45,0.45,8.0,0.8356,0.0732,742
2PL,45,0.4,8.0,0.8356,0.0732,742
2PL,45,0.35,8.0,0.8356,0.0732,742
2PL,45,0.3,8.0,0.8356,0.0732,742
2PL,45,0.25,9.46,0.856,0.0756,742
2PL,45,0.2,16.23,0.8922,0.0789,742
2PL,45,0.15,37.38,0.9565,0.0753,742
2PL,45,0.12,81.92,0.9697,0.0719,742
2PL,30,0.5,8.0,0.5463,0.0973,705
2PL,30,0.45,8.0,0.5463,0.0973,705
2PL,30,0.4,8.0,0.5463,0.0973,705
2PL,30,0.35,8.0,0.5463,0.0973,705
2PL,30,0.3,8.0,0.5463,0.0973,705
2PL,30,0.25,8.62,0.5547,0.0977,705
2PL,30,0.2,11.69,0.6739,0.095,705
2PL,30,0.15,24.46,0.8445,0.0793,705
2PL,30,0.12,52.54,0.8935,0.0819,705
2PL,15,0.5,8.0,0.7925,0.1227,662
2PL,15,0.45,8.0,0.7925,0.1227,662
2PL,15,0.4,8.0,0.7925,0.1227,662
2PL,15,0.35,8.0,0.7925,0.1227,662
2PL,15,0.3,8.0,0.7925,0.1227,662
2PL,15,0.25,8.0,0.7925,0.1227,662
2PL,15,0.2,8.46,0.7902,0.124,662
2PL,15,0.15,15.08,0.8491,0.1246,662
2PL,15,0.12,32.15,0.8588,0.1145,662
3PL,50,0.5,8.38,0.8453,0.1367,759
3PL,50,0.45,9.08,0.8538,0.1352,759
3PL,50,0.4,9.62,0.8774,0.1351,759
3PL,50,0.35,11.85,0.8951,0.1363,759
3PL,50,0.3,19.54,0.9273,0.1326,759
3PL,50,0.25,81.62,0.9071,0.1329,759
3PL,50,0.2,252.08,0.9064,0.1258,759
3PL,50,0.15,319.46,0.8995,0.1276,759
3PL,50,0.12,372.92,0.9015,0.1265,759
3PL,45,0.5,10.23,0.8233,0.1438,742
3PL,45,0.45,14.08,0.8751,0.1372,742
3PL,45,0.4,22.0,0.893,0.137,742
3PL,45,0.35,30.85,0.8768,0.1321,742
3PL,45,0.3,32.85,0.8869,0.1348,742
3PL,45,0.25,105.77,0.822,0.132,742
3PL,45,0.2,245.77,0.8424,0.1323,742
3PL,45,0.15,358.0,0.8615,0.1258,742
3PL,45,0.12,417.23,0.9013,0.1182,742
3PL,30,0.5,8.08,0.7074,0.0914,705
3PL,30,0.45,9.15,0.6981,0.1,705
3PL,30,0.4,10.85,0.6903,0.1069,705
3PL,30,0.35,11.38,0.6788,0.1114,705
3PL,30,0.3,14.08,0.7972,0.11,705
3PL,30,0.25,27.62,0.7929,0.1152,705
3PL,30,0.2,246.23,0.8561,0.1185,705
3PL,30,0.15,352.23,0.8831,0.1265,705
3PL,30,0.12,361.0,0.8955,0.1285,705
3PL,15,0.5,8.0,0.3586,0.1172,662
3PL,15,0.45,8.0,0.3586,0.1172,662
3PL,15,0.4,8.0,0.3586,0.1172,662
3PL,15,0.35,8.15,0.396,0.1158,662
3PL,15,0.3,8.46,0.411,0.12,662
3PL,15,0.25,10.0,0.482,0.125,662
3PL,15,0.2,17.38,0.4576,0.1233,662
3PL,15,0.15,28.69,0.4936,0.1218,662
3PL,15,0.12,103.69,0.7082,0.1411,662
