model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
01-ai/Yi-1.5-6B,0.2109171074232953,-0.4134621668523446,21,579,0.3385146804835924,0.1953811715186072,-0.1275975730602971,0.1275975730602971,0.016281140650877855
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.33547026041044825,0.3681171260446379,8,579,0.39378238341968913,0.15745144249924162,-0.05831212300924088,0.05831212300924088,0.0034003036898448396
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,0.33547026041044825,0.3681171260446379,8,579,0.38341968911917096,0.15745144249924162,-0.04794942870872271,0.04794942870872271,0.0022991477134928816
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.2653320141896183,-0.0032469082217501666,11,579,0.22797927461139897,0.1914217028303832,0.03735273957821936,0.03735273957821936,0.0013952271539982748
BlackBeenie/Neos-Llama-3.1-base,0.14611656400972706,-1.383738452114081,142,579,0.19516407599309155,0.1969457656180477,-0.04904751198336449,0.04904751198336449,0.002405658431758283
BramVanroy/fietje-2-chat,0.18133378066748315,-0.7093612123437147,23,579,0.24352331606217617,0.19775115884558736,-0.06218953539469302,0.06218953539469302,0.003867538312607776
BramVanroy/fietje-2-instruct,0.17017198506736236,-0.862500289268445,32,579,0.22279792746113988,0.194325601308359,-0.05262594239377752,0.05262594239377752,0.00276948981283319
Daemontatox/Zirel_1.5,0.14876236054030018,-1.1841813995258537,99,579,0.23661485319516407,0.19876432410672173,-0.08785249265486389,0.08785249265486389,0.007718060465672914
DavieLion/Llama-3.2-1B-SPIN-iter3,0.31093497676343246,0.2515469644634039,8,579,0.3316062176165803,0.16669385852771584,-0.020671240853147865,0.020671240853147865,0.0004273001984088493
DeepMount00/Lexora-Lite-3B,0.24735218539683843,-0.12035058343260367,12,579,0.24006908462867013,0.19387293535388445,0.0072831007681682935,0.0072831007681682935,5.304355679929359e-05
EpistemeAI/Athena-gemma-2-2b-it,0.17165657422615174,-0.844452368982017,34,579,0.28324697754749567,0.19418976544464395,-0.11159040332134393,0.11159040332134393,0.012452418113420205
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.22446683896300437,-0.2923597235518426,15,579,0.26252158894645944,0.19356701103110918,-0.038054749983455066,0.038054749983455066,0.0014481639963032733
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.33547026041044825,0.3681171260446379,8,579,0.37823834196891193,0.15745144249924162,-0.04276808155846368,0.04276808155846368,0.0018291088001914008
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,0.33547026041044825,0.3681171260446379,8,579,0.39378238341968913,0.15745144249924162,-0.05831212300924088,0.05831212300924088,0.0034003036898448396
J-LAB/Thynk_orpo,0.22195241532810145,-0.310315532173118,14,579,0.29533678756476683,0.1957336591331161,-0.07338437223666539,0.07338437223666539,0.005385266088569466
JayHyeon/Qwen-0.5B-DPO-5epoch,0.1817585464624808,-0.713360296533087,27,579,0.25215889464594127,0.19856584976466787,-0.07040034818346047,0.07040034818346047,0.004956209024352466
JayHyeon/Qwen2.5-0.5B-SFT,0.25287819269009926,-0.08288215185945988,15,579,0.3298791018998273,0.19688410889640964,-0.07700090920972802,0.07700090920972802,0.0059291400191247776
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.2574037898181225,-0.05353462563226303,16,579,0.35060449050086356,0.1946508357293508,-0.09320070068274106,0.09320070068274106,0.00868637060775389
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.3047403206736305,0.22019914583472142,8,579,0.35751295336787564,0.19327068893900198,-0.05277263269424515,0.05277263269424515,0.002784950761481712
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.3047403206736305,0.22019914583472142,8,579,0.3333333333333333,0.19327068893900198,-0.02859301265970282,0.02859301265970282,0.0008175603729579258
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.3047403206736305,0.22019914583472142,8,579,0.32469775474956825,0.19327068893900198,-0.019957434075937752,0.019957434075937752,0.00039829917489540135
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.32469775474956825,0.19327068893900198,-0.019957434075937752,0.019957434075937752,0.00039829917489540135
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.33678756476683935,0.19327068893900198,-0.03204724409320886,0.03204724409320886,0.0010270258539697103
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.33678756476683935,0.19327068893900198,-0.03204724409320886,0.03204724409320886,0.0010270258539697103
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,0.2828196686032943,0.10327976902299758,12,579,0.32124352331606215,0.19576627314439865,-0.038423854712767824,0.038423854712767824,0.00147639261098789
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.34024179620034545,0.19327068893900198,-0.035501475526714954,0.035501475526714954,0.0012603547645739408
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.3281519861830743,0.19327068893900198,-0.02341166550944379,0.02341166550944379,0.00054810608192608
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.3454231433506045,0.19327068893900198,-0.040682822676973984,0.040682822676973984,0.0016550920609661086
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.3298791018998273,0.19327068893900198,-0.025138781226196782,0.025138781226196782,0.0006319583215385838
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.1946868715848476,-0.56917178714053,19,579,0.2918825561312608,0.19935008794959266,-0.0971956845464132,0.0971956845464132,0.009447001094445864
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,0.16223910871779282,-0.9689862908807698,38,579,0.26424870466321243,0.1984345351953389,-0.10200959594541961,0.10200959594541961,0.010405957664947769
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,0.2683193189594972,0.015443919149392617,13,579,0.2970639032815199,0.19605678461154255,-0.028744584322022704,0.028744584322022704,0.0008262511278458734
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.3047403206736305,0.22019914583472142,8,579,0.32642487046632124,0.19327068893900198,-0.021684549792690744,0.021684549792690744,0.0004702196997116842
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.2683193189594972,0.015443919149392617,13,579,0.3022452504317789,0.19605678461154255,-0.033925931472281734,0.033925931472281734,0.0011509688262619563
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.5917342271335775,1.3562121408477679,8,579,0.34024179620034545,0.10191732783022239,0.25149243093323204,0.25149243093323204,0.06324844281670648
LEESM/llama-2-7b-hf-lora-oki10p,0.1867782588910567,-0.6503460338571929,24,579,0.25734024179620035,0.19223672629445537,-0.07056198290514365,0.07056198290514365,0.004978993431505784
