model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
01-ai/Yi-1.5-6B,11,24,21,33,108,91
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,8,37,8,63,22,195
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,8,18,8,26,23,127
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,8,62,11,101,38,400
BlackBeenie/Neos-Llama-3.1-base,63,48,142,155,400,400
BramVanroy/fietje-2-chat,10,121,23,178,400,400
BramVanroy/fietje-2-instruct,11,102,32,210,400,400
Daemontatox/Zirel_1.5,42,44,99,143,400,400
DavieLion/Llama-3.2-1B-SPIN-iter3,8,56,8,85,32,280
DeepMount00/Lexora-Lite-3B,8,103,12,231,312,400
EpistemeAI/Athena-gemma-2-2b-it,20,57,34,126,196,400
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,8,49,15,67,167,400
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,8,28,8,37,23,108
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,8,50,8,70,22,189
J-LAB/Thynk_orpo,8,49,14,95,143,400
JayHyeon/Qwen-0.5B-DPO-5epoch,10,66,27,178,400,400
JayHyeon/Qwen2.5-0.5B-SFT,10,38,15,91,100,316
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,8,69,16,97,45,283
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,8,28,8,42,28,144
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,8,39,8,93,40,258
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,8,49,8,67,40,222
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,8,28,8,82,41,232
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,8,33,8,54,40,233
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,8,24,8,61,41,217
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,8,35,12,67,77,341
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,8,17,8,33,41,196
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,8,53,8,72,41,251
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,8,32,8,56,35,278
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,8,24,8,73,46,253
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,8,38,19,87,190,400
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,10,35,38,126,318,400
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,8,44,13,87,130,400
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,8,53,8,92,41,290
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,8,24,13,46,116,236
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,8,15,8,40,9,244
LEESM/llama-2-7b-hf-lora-oki10p,10,51,24,143,400,400
LilRg/10PRYMMAL-3B-slerp,13,30,30,60,147,400
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,8,22,8,56,16,157
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,8,24,8,29,22,137
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,10,75,30,125,235,400
