mode,scenarios,criteria_mean,recovery_r,r_lo,r_hi,recovery_slope,theta_mae,mean_online_se
cat,1,17.9,0.8194,0.7253,0.8869,0.8564,0.7406,0.3431
cat,2,36.0,0.8823,0.8273,0.9237,1.0018,0.601,0.2342
cat,3,53.7,0.9365,0.8951,0.9619,0.9644,0.4302,0.1954
cat,4,71.5,0.9489,0.9212,0.9681,0.9754,0.3955,0.1713
cat,6,106.9,0.9674,0.9456,0.9814,0.9954,0.2997,0.1423
cat,8,142.4,0.9769,0.9616,0.9865,1.0094,0.2667,0.1256
cat,10,177.6,0.9766,0.9634,0.9858,0.99,0.257,0.1147
cat,12,212.3,0.9823,0.9716,0.9892,0.9845,0.221,0.1069
cat,15,264.8,0.9856,0.9778,0.9918,0.9913,0.1918,0.0978
cat,20,353.0,0.9877,0.981,0.9929,0.9948,0.1799,0.0885
baseline,1,17.4,0.7453,0.6403,0.8292,1.0236,1.0189,0.5429
baseline,2,34.8,0.8524,0.7587,0.9143,1.1432,0.8347,0.4147
baseline,3,52.2,0.8921,0.8142,0.9417,1.0873,0.6505,0.3524
baseline,4,69.3,0.9276,0.8783,0.9583,1.1221,0.5441,0.3099
baseline,6,103.8,0.9478,0.9086,0.9707,0.9998,0.4011,0.2569
baseline,8,138.8,0.9592,0.9273,0.9777,0.9903,0.3353,0.2222
baseline,10,173.3,0.9653,0.9336,0.9822,1.0318,0.3207,0.2014
baseline,12,207.8,0.9747,0.9546,0.9856,1.0283,0.2816,0.1862
baseline,15,260.0,0.9851,0.9744,0.9915,1.041,0.2237,0.1694
baseline,20,346.9,0.9865,0.9752,0.9928,1.0225,0.1983,0.1471
