model,theta,SE_posterior,SE_total,n_admin_criteria,weakly_identified,precision_reached
OpenBMB/MiniCPM4-0.5B,-0.3475602547860545,0.05921,0.0719,88,False,True
openbmb/MiniCPM-2B-sft-bf16,-0.2673993258604797,0.05966,0.06984,85,False,True
BSC-LT/salamandra-7b-instruct,0.3433358880778636,0.06072,0.07098,89,False,True
ibm-granite/granite-3.1-2b-base,0.2790624903827156,0.06308,0.07392,90,False,True
Qwen/Qwen2.5-0.5B-Instruct,-0.1122656765899096,0.06315,0.07534,84,False,True
ibm-granite/granite-7b-instruct,0.2523250723166519,0.06436,0.07457,89,False,True
ibm-granite/granite-3.0-2b-base,0.3148750597046377,0.06552,0.07809,85,False,True
tiiuae/Falcon3-3B-Base,0.2382914773004529,0.06585,0.07501,88,False,True
tiiuae/Falcon3-3B-Instruct,2.199625150167277,0.06586,0.08663,54,False,True
ibm/PowerLM-3b,0.1000491379585188,0.06918,0.08219,91,False,True
h2oai/h2o-danube-1.8b-chat,0.0527687145810085,0.06929,0.08318,83,False,True
utter-project/EuroLLM-1.7B-Instruct,-0.1996095988293836,0.0704,0.08825,83,False,True
ibm-granite/granite-3.1-2b-instruct,2.399632503035693,0.07592,0.1045,65,False,True
01-ai/Yi-1.5-6B-Chat,2.0955135343204754,0.08375,0.11714,50,False,True
h2oai/h2o-danube2-1.8b-chat,-0.253747600382373,0.084,0.10851,86,False,True
nvidia/AceInstruct-1.5B,1.4727980500548203,0.08531,0.11192,69,False,True
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.699102908228435,0.08793,0.12097,47,False,True
stabilityai/stablelm-zephyr-3b,1.1038450541428355,0.08847,0.10641,75,False,True
allenai/OLMo-2-0425-1B-Instruct,1.320488939492724,0.09007,0.10848,72,False,True
meta-llama/Llama-3.2-1B-Instruct,0.8090713250543944,0.0904,0.11432,76,False,True
meta-llama/Llama-3.2-3B-Instruct,2.2931224821381613,0.10157,0.1252,60,False,True
stabilityai/stablelm-2-1_6b-chat,0.851326904146011,0.10262,0.11599,79,False,True
pankajmathur/orca_mini_v9_5_3B-Instruct,1.408198313044954,0.10363,0.12564,75,False,True
HuggingFaceTB/SmolLM2-360M,-2.840028764630483,0.10441,0.13379,349,False,True
tiiuae/Falcon3-1B-Instruct,0.8694407830372572,0.10559,0.13475,68,False,True
openbmb/MiniCPM-1B-sft-bf16,-2.888631980504001,0.10791,0.12973,266,False,True
Qwen/Qwen1.5-1.8B-Chat,0.2702534726036077,0.10835,0.13356,85,False,True
01-ai/Yi-6B-Chat,0.8474371662549505,0.10916,0.13413,78,False,True
arcee-ai/raspberry-3B,1.1711867245601306,0.10924,0.13389,73,False,True
google/gemma-2b,-2.190391050520444,0.10953,0.13251,156,False,True
meta-llama/Llama-3.2-1B,-2.485510113453514,0.11025,0.12924,147,False,True
pankajmathur/orca_mini_3b,-0.9062267355330296,0.11049,0.1212,89,False,True
utter-project/EuroLLM-1.7B,-2.40246492657918,0.11142,0.12958,228,False,True
openlm-research/open_llama_3b,-2.8028841805451883,0.11149,0.1328,256,False,True
01-ai/Yi-1.5-6B,-0.3770184116256566,0.11366,0.12229,96,False,True
allenai/OLMo-2-0425-1B,-2.4068937699077093,0.11428,0.13416,222,False,True
stabilityai/stablelm-2-zephyr-1_6b,0.4434159332027339,0.11464,0.13728,91,False,True
BSC-LT/salamandra-7b,-1.2247051998194851,0.11634,0.13118,108,False,True
allenai/OLMo-2-0425-1B-DPO,1.3935076799838957,0.11667,0.16897,71,False,True
01-ai/Yi-6B,-1.339212544141711,0.11733,0.13961,136,False,True
Qwen/Qwen1.5-1.8B,-2.31901997633977,0.118,0.13708,222,False,True
microsoft/phi-1_5,-1.6975323520432024,0.1185,0.13622,109,False,True
BSC-LT/salamandra-2b,-2.1907692694210983,0.1189,0.13326,156,False,True
BSC-LT/salamandra-2b-instruct,-0.8234981964506087,0.11906,0.12726,80,False,True
h2oai/h2o-danube2-1.8b-base,-1.2469577010932211,0.11911,0.13741,175,False,True
01-ai/Yi-6B-200K,-2.1667106211211324,0.12158,0.15323,163,False,False
Qwen/Qwen2-0.5B,-2.308928293133601,0.12194,0.13397,161,False,False
google/gemma-2-2b,-1.589168818710511,0.12298,0.13619,146,False,False
BEE-spoke-data/smol_llama-220M-openhermes,-4.643318777198033,0.21828,0.2878,393,True,False
ai-forever/mGPT,-6.2223011432363045,0.24948,0.37111,379,True,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-5.322923288621569,0.28558,0.42728,404,True,False
allenai/OLMo-1B-hf,-6.751778593273681,0.30912,0.51479,388,True,False
