model,predicted_passrate,actual_passrate,theta_oos
01-ai/Yi-1.5-6B,0.3829561305925321,0.41712127570289553,-0.22010956341380022
01-ai/Yi-1.5-6B-Chat,0.6374575730509963,0.7042670046472328,1.3952603739033356
01-ai/Yi-6B,0.21787824289612437,0.27318718381112983,-1.159857559135656
01-ai/Yi-6B-200K,0.11368145810721948,0.12337389844733529,-2.1521423277038436
01-ai/Yi-6B-Chat,0.5933958977743602,0.5866554762903903,0.9788457456133905
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.041941954005493255,0.0283657917019475,-3.9394433346169206
BEE-spoke-data/smol_llama-220M-openhermes,0.09508254882769043,0.06231578947368421,-2.4387558310224087
BSC-LT/salamandra-2b,0.2433413457781399,0.17768421052631578,-1.0762820842676786
BSC-LT/salamandra-2b-instruct,0.4070526971319474,0.34709351305812974,-0.07808694673601585
BSC-LT/salamandra-7b,0.26800789557657145,0.3033990767939572,-0.8758373666135847
BSC-LT/salamandra-7b-instruct,0.4941965957684333,0.5204900718208703,0.5628921437044829
HuggingFaceTB/SmolLM2-360M,0.10821279870765727,0.10198061525495154,-2.200509834524486
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.6781148510147151,0.8018628281117697,1.7912805816987207
OpenBMB/MiniCPM4-0.5B,0.3567106895931539,0.3903471634208298,-0.09622724425508093
Qwen/Qwen1.5-1.8B,0.20144142762144915,0.1412310286677909,-1.2777808658977097
Qwen/Qwen1.5-1.8B-Chat,0.44570467649809886,0.4855224506924045,0.11225529325611391
Qwen/Qwen2-0.5B,0.30743200956607225,0.24343776460626587,-0.38293957105095383
Qwen/Qwen2.5-0.5B-Instruct,0.4256872098043552,0.45235069885641677,0.29922447560106347
ai-forever/mGPT,0.043379287191961234,0.028115820394460762,-3.8895635784845064
allenai/OLMo-1B-hf,0.027937812064338024,0.02643726395300042,-5.709025545046161
allenai/OLMo-2-0425-1B,0.2526617310714289,0.19135543432647922,-0.9707671337968964
allenai/OLMo-2-0425-1B-DPO,0.6328819420698387,0.6248941574936494,1.5026187265919737
allenai/OLMo-2-0425-1B-Instruct,0.6342433292804976,0.6232006773920407,1.5109339996769449
arcee-ai/raspberry-3B,0.5768366886406961,0.6347935973041281,0.9716328034111676
google/gemma-2-2b,0.16373129576204012,0.1634980988593156,-1.4605396549140095
google/gemma-2b,0.2111514652435797,0.16055625790139064,-1.2072839668028095
h2oai/h2o-danube-1.8b-chat,0.4391009060977796,0.45446915652538816,0.07694975409344654
h2oai/h2o-danube2-1.8b-base,0.33739096689716036,0.27276577721304535,-0.20699563377955946
h2oai/h2o-danube2-1.8b-chat,0.3638417262038934,0.3994943109987358,-0.22638494627131572
ibm-granite/granite-3.0-2b-base,0.547384422141262,0.5198647506339814,0.8680802640060784
ibm-granite/granite-3.1-2b-base,0.46044174125981463,0.5262274443978179,0.19181605836180624
ibm-granite/granite-3.1-2b-instruct,0.6218074834832582,0.7827557058326289,1.30092886854506
ibm-granite/granite-7b-instruct,0.6153513547614822,0.5992414664981036,1.3247844299313614
ibm/PowerLM-3b,0.47234515090879015,0.44060657118786856,0.3196639480236126
meta-llama/Llama-3.2-1B,0.18939506839173492,0.13642105263157894,-1.4462828491201611
meta-llama/Llama-3.2-1B-Instruct,0.5595498192833057,0.5887811050189793,0.968193658637757
meta-llama/Llama-3.2-3B-Instruct,0.6749699005515831,0.7637894736842106,1.5983187157477905
microsoft/phi-1_5,0.2122418178804914,0.1926489226869455,-1.0923093806405264
nvidia/AceInstruct-1.5B,0.6242022556552594,0.6793088916982722,1.3831813636652466
openbmb/MiniCPM-1B-sft-bf16,0.2047336987757165,0.10830172777075432,-1.2535786224828782
openbmb/MiniCPM-2B-sft-bf16,0.3832628078485265,0.3688421052631579,-0.22052643707443287
openlm-research/open_llama_3b,0.12015372367421412,0.12336290663286861,-1.894759753021391
pankajmathur/orca_mini_3b,0.3738070691491623,0.35425442291491155,-0.27717855847179323
pankajmathur/orca_mini_v9_5_3B-Instruct,0.5626319631191963,0.6655376799322608,1.0934214519973333
stabilityai/stablelm-2-1_6b-chat,0.590263643899511,0.5756551141166526,1.115482684317842
stabilityai/stablelm-2-zephyr-1_6b,0.5635270257410605,0.5153684210526316,0.889526562985663
stabilityai/stablelm-zephyr-3b,0.586718995152261,0.6083650190114068,1.094903587608694
tiiuae/Falcon3-1B-Instruct,0.5766304104039768,0.5769068689422672,1.075780358657228
tiiuae/Falcon3-3B-Base,0.4142773911500666,0.494732406236831,0.07571409340047178
tiiuae/Falcon3-3B-Instruct,0.6264010313037187,0.7306226175349428,1.4633181257247914
utter-project/EuroLLM-1.7B,0.18261641659007827,0.1563160118293198,-1.3075144939119574
utter-project/EuroLLM-1.7B-Instruct,0.4145148369678117,0.3934288121314238,-0.03328468449995986
