min_scenarios,se_target,n_models,converged,convergence_rate,scenarios_mean,scenarios_median,scenarios_max,criteria_mean,criteria_median,final_se_median,final_se_max,stop_reasons
0,0.15,51,51,1.0,6.31,5,14,118.2,94,0.1431,0.1498,"{""precision_reached"": 51}"
0,0.2,51,51,1.0,3.49,3,7,65.6,57,0.1859,0.1985,"{""precision_reached"": 51}"
0,0.25,51,51,1.0,2.35,2,4,44.4,38,0.2167,0.2499,"{""precision_reached"": 51}"
0,0.3,51,51,1.0,1.75,2,4,33.0,38,0.2585,0.2988,"{""precision_reached"": 51}"
0,0.35,51,51,1.0,1.47,1,3,27.9,20,0.2742,0.3495,"{""precision_reached"": 51}"
0,0.4,51,51,1.0,1.12,1,2,21.2,19,0.3098,0.3972,"{""precision_reached"": 51}"
12,0.15,51,51,1.0,12.08,12,14,225.7,225,0.0933,0.1498,"{""precision_reached"": 51}"
12,0.2,51,51,1.0,12.0,12,12,224.3,224,0.0933,0.1542,"{""precision_reached"": 51}"
12,0.25,51,51,1.0,12.0,12,12,224.3,224,0.0933,0.1542,"{""precision_reached"": 51}"
12,0.3,51,51,1.0,12.0,12,12,224.3,224,0.0933,0.1542,"{""precision_reached"": 51}"
12,0.35,51,51,1.0,12.0,12,12,224.3,224,0.0933,0.1542,"{""precision_reached"": 51}"
12,0.4,51,51,1.0,12.0,12,12,224.3,224,0.0933,0.1542,"{""precision_reached"": 51}"
15,0.15,51,51,1.0,15.0,15,15,280.3,280,0.0846,0.1421,"{""precision_reached"": 51}"
15,0.2,51,51,1.0,15.0,15,15,280.3,280,0.0846,0.1421,"{""precision_reached"": 51}"
15,0.25,51,51,1.0,15.0,15,15,280.3,280,0.0846,0.1421,"{""precision_reached"": 51}"
15,0.3,51,51,1.0,15.0,15,15,280.3,280,0.0846,0.1421,"{""precision_reached"": 51}"
15,0.35,51,51,1.0,15.0,15,15,280.3,280,0.0846,0.1421,"{""precision_reached"": 51}"
15,0.4,51,51,1.0,15.0,15,15,280.3,280,0.0846,0.1421,"{""precision_reached"": 51}"
20,0.15,51,51,1.0,20.0,20,20,373.0,374,0.0763,0.1284,"{""precision_reached"": 51}"
20,0.2,51,51,1.0,20.0,20,20,373.0,374,0.0763,0.1284,"{""precision_reached"": 51}"
20,0.25,51,51,1.0,20.0,20,20,373.0,374,0.0763,0.1284,"{""precision_reached"": 51}"
20,0.3,51,51,1.0,20.0,20,20,373.0,374,0.0763,0.1284,"{""precision_reached"": 51}"
20,0.35,51,51,1.0,20.0,20,20,373.0,374,0.0763,0.1284,"{""precision_reached"": 51}"
20,0.4,51,51,1.0,20.0,20,20,373.0,374,0.0763,0.1284,"{""precision_reached"": 51}"
