model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_online_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation,theta_full_correctness,theta_full_scaffolding,theta_full_presentation
01-ai/Yi-6B,41,240,True,True,-0.746932,-0.7963299278617334,-0.8042108160583951,0.280913,179,-0.237514,-0.25101174990670405,-0.24844171353268293,0.291469,55,-0.380353,-0.3993506389134232,-0.42394259364138487,0.297752,34,-0.9923172756922554,-0.17015148335072788,-0.6803491693564518
01-ai/Yi-6B-Chat,37,218,True,True,-0.566128,-0.6462342696936907,-0.6301765638845122,0.254687,155,-0.576434,-0.6142455097691855,-0.6291317904280352,0.286238,60,0.505038,0.4813803498760459,0.5450084593311296,0.297244,29,-0.1744442852438117,-0.8357337794257677,0.49650320885338534
EleutherAI/pythia-1.4b,44,272,True,True,-1.799576,-2.075365014873009,-2.259035349023926,0.271293,208,0.657808,0.4781866240090605,0.592968125334574,0.284958,47,-1.432069,-1.4879684209555804,-1.6127983073863685,0.298774,43,-2.3542833493403084,0.9084383181232963,-1.7702459350680835
EleutherAI/pythia-160m,50,307,False,True,-2.261775,-3.3651436836740154,-6.066466565275856,0.265722,227,1.482285,1.2968688918821423,1.449207722392405,0.249524,64,-2.7576,-3.523847673835954,-5.886608606173156,0.323703,49,-5.512182275072137,1.4589790629581314,-4.798872555883814
EleutherAI/pythia-1b,50,293,False,True,-2.056146,-2.4361888622450776,-2.780730069780491,0.298285,221,0.965799,0.9785023084588993,1.1042289623716675,0.286141,54,-1.755536,-1.8722307022521052,-2.050813392205936,0.302926,46,-2.5195297599847817,0.9748922248323635,-2.0674798431643127
EleutherAI/pythia-2.8b,50,299,False,True,-2.23327,-3.0320085803221803,-4.188319218864952,0.274967,226,0.999843,0.8473981508833135,0.9418742855851018,0.283947,56,-2.241954,-2.4346539969558427,-2.766793106724599,0.315668,48,-2.561135906825186,0.7322525863309153,-2.4565075294060517
EleutherAI/pythia-410m,50,298,False,True,-2.132146,-2.8253264733448167,-3.4897637088430455,0.275975,220,1.022998,1.0708015198560248,1.168607657665782,0.285617,61,-2.589099,-2.8362193448922848,-3.4289835704778033,0.341842,46,-3.524370262284327,1.2206041958319132,-3.5922331619644385
EleutherAI/pythia-6.9b,44,257,True,True,-1.678966,-1.848272581425792,-1.990580394039354,0.269593,193,0.194504,0.1716596469183149,0.22221614556745603,0.295597,47,-1.369475,-1.4525043990601472,-1.5766637184185806,0.297772,40,-2.3386678281679476,0.3763292238394314,-1.4522670770817012
EleutherAI/pythia-70m,50,292,False,True,-2.263587,-3.373218026586194,-6.11734836622099,0.264542,219,1.094552,1.1267728970723325,1.4143091903413545,0.28563,58,-2.919577,-3.518631987289074,-5.90801012923233,0.345445,47,-5.607486027894252,0.7364422096518208,-4.8050000568633005
HuggingFaceH4/zephyr-7b-beta,27,162,True,True,1.142427,1.1257509708661584,1.1796930589983878,0.149593,118,-0.439205,-0.563427546535565,-0.4508480213867164,0.297502,39,0.485735,0.4667744604446019,0.5439341069292445,0.298498,24,1.000030003794947,0.43074315374636296,0.4557421094311558
HuggingFaceTB/SmolLM2-1.7B,32,198,True,True,-0.583089,-0.7590105956849633,-0.759421541461785,0.253019,145,-0.511839,-0.7931279598835184,-0.7618244048827619,0.2976,51,0.062797,0.029991425503757097,0.07874748791487379,0.295987,27,-0.5656147550754514,-0.19062647413094133,0.22393060067073328
HuggingFaceTB/SmolLM2-1.7B-Instruct,18,107,True,True,0.853326,0.5460088664912431,0.6462200646911539,0.213302,72,-0.308393,-0.6834278554060234,-0.7028513122651977,0.282128,36,0.79291,0.7004738389477669,0.8787119705258043,0.287818,15,0.35162782890897454,-0.7521171472344771,0.9956711669045188
